,year,date,hour,temp,humidity
0,2012,"Tue, May 1",12:51 am,58,87%
1,2012,"Tue, May 1",1:51 am,58,87%
2,2012,"Tue, May 1",2:51 am,58,87%
3,2012,"Tue, May 1",3:51 am,58,90%
4,2012,"Tue, May 1",4:51 am,57,90%
5,2012,"Tue, May 1",5:51 am,57,90%
6,2012,"Tue, May 1",6:08 am,57,88%
7,2012,"Tue, May 1",6:51 am,58,84%
8,2012,"Tue, May 1",7:51 am,58,84%
9,2012,"Tue, May 1",8:51 am,59,81%
10,2012,"Tue, May 1",9:51 am,60,78%
11,2012,"Tue, May 1",10:51 am,61,72%
12,2012,"Tue, May 1",11:55 am,61,77%
13,2012,"Tue, May 1",12:51 pm,59,84%
14,2012,"Tue, May 1",1:51 pm,60,78%
15,2012,"Tue, May 1",2:51 pm,61,72%
16,2012,"Tue, May 1",3:51 pm,61,72%
17,2012,"Tue, May 1",4:51 pm,60,78%
18,2012,"Tue, May 1",5:51 pm,60,78%
19,2012,"Tue, May 1",6:58 pm,59,82%
20,2012,"Tue, May 1",7:51 pm,59,81%
21,2012,"Tue, May 1",8:51 pm,59,81%
22,2012,"Tue, May 1",9:51 pm,59,78%
23,2012,"Tue, May 1",10:51 pm,60,75%
24,2012,"Tue, May 1",11:51 pm,59,81%
25,2012,"Wed, May 2",12:51 am,58,87%
26,2012,"Wed, May 2",1:51 am,58,87%
27,2012,"Wed, May 2",2:51 am,58,87%
28,2012,"Wed, May 2",3:51 am,58,90%
29,2012,"Wed, May 2",4:51 am,57,90%
30,2012,"Wed, May 2",5:51 am,57,90%
31,2012,"Wed, May 2",6:08 am,57,88%
32,2012,"Wed, May 2",6:51 am,58,84%
33,2012,"Wed, May 2",7:51 am,58,84%
34,2012,"Wed, May 2",8:51 am,59,81%
35,2012,"Wed, May 2",9:51 am,60,78%
36,2012,"Wed, May 2",10:51 am,61,72%
37,2012,"Wed, May 2",11:55 am,61,77%
38,2012,"Wed, May 2",12:51 pm,59,84%
39,2012,"Wed, May 2",1:51 pm,60,78%
