,year,date,hour,temp,humidity
0,2016,"Sun, May 1",12:51 am,57,81%
1,2016,"Sun, May 1",1:51 am,56,81%
2,2016,"Sun, May 1",2:51 am,56,81%
3,2016,"Sun, May 1",3:58 am,56,81%
4,2016,"Sun, May 1",4:51 am,56,77%
5,2016,"Sun, May 1",5:51 am,57,81%
6,2016,"Sun, May 1",6:51 am,58,78%
7,2016,"Sun, May 1",7:51 am,60,72%
8,2016,"Sun, May 1",8:51 am,62,67%
9,2016,"Sun, May 1",9:51 am,64,61%
10,2016,"Sun, May 1",10:51 am,64,65%
11,2016,"Sun, May 1",11:51 am,65,68%
12,2016,"Sun, May 1",12:51 pm,68,59%
13,2016,"Sun, May 1",1:51 pm,65,66%
14,2016,"Sun, May 1",2:51 pm,66,63%
15,2016,"Sun, May 1",3:51 pm,65,63%
16,2016,"Sun, May 1",4:51 pm,64,70%
17,2016,"Sun, May 1",5:51 pm,62,73%
18,2016,"Sun, May 1",6:51 pm,60,78%
19,2016,"Sun, May 1",7:51 pm,59,78%
20,2016,"Sun, May 1",8:51 pm,59,78%
21,2016,"Sun, May 1",9:58 pm,58,81%
22,2016,"Sun, May 1",10:51 pm,58,81%
23,2016,"Sun, May 1",11:51 pm,58,84%
24,2016,"Mon, May 2",12:51 am,57,81%
25,2016,"Mon, May 2",1:51 am,56,81%
26,2016,"Mon, May 2",2:51 am,56,81%
27,2016,"Mon, May 2",3:58 am,56,81%
28,2016,"Mon, May 2",4:51 am,56,77%
29,2016,"Mon, May 2",5:51 am,57,81%
30,2016,"Mon, May 2",6:51 am,58,78%
31,2016,"Mon, May 2",7:51 am,60,72%
32,2016,"Mon, May 2",8:51 am,62,67%
33,2016,"Mon, May 2",9:51 am,64,61%
34,2016,"Mon, May 2",10:51 am,64,65%
35,2016,"Mon, May 2",11:51 am,65,68%
36,2016,"Mon, May 2",12:51 pm,68,59%
37,2016,"Mon, May 2",1:51 pm,65,66%
38,2016,"Mon, May 2",2:51 pm,66,63%
39,2016,"Mon, May 2",3:51 pm,65,63%
40,2016,"Mon, May 2",4:51 pm,64,70%
41,2016,"Mon, May 2",5:51 pm,62,73%
42,2016,"Mon, May 2",6:51 pm,60,78%
43,2016,"Mon, May 2",7:51 pm,59,78%
44,2016,"Mon, May 2",8:51 pm,59,78%
45,2016,"Mon, May 2",9:58 pm,58,81%
46,2016,"Mon, May 2",10:51 pm,58,81%
47,2016,"Mon, May 2",11:51 pm,58,84%
48,2016,"Tue, May 3",12:51 am,57,81%
49,2016,"Tue, May 3",1:51 am,56,81%
50,2016,"Tue, May 3",2:51 am,56,81%
51,2016,"Tue, May 3",3:58 am,56,81%
52,2016,"Tue, May 3",4:51 am,56,77%
53,2016,"Tue, May 3",5:51 am,57,81%
54,2016,"Tue, May 3",6:51 am,58,78%
55,2016,"Tue, May 3",7:51 am,60,72%
56,2016,"Tue, May 3",8:51 am,62,67%
57,2016,"Tue, May 3",9:51 am,64,61%
58,2016,"Tue, May 3",10:51 am,64,65%
59,2016,"Tue, May 3",11:51 am,65,68%
60,2016,"Tue, May 3",12:51 pm,68,59%
61,2016,"Tue, May 3",1:51 pm,65,66%
62,2016,"Tue, May 3",2:51 pm,66,63%
63,2016,"Tue, May 3",3:51 pm,65,63%
64,2016,"Tue, May 3",4:51 pm,64,70%
65,2016,"Tue, May 3",5:51 pm,62,73%
66,2016,"Tue, May 3",6:51 pm,60,78%
67,2016,"Tue, May 3",7:51 pm,59,78%
68,2016,"Tue, May 3",8:51 pm,59,78%
69,2016,"Tue, May 3",9:58 pm,58,81%
70,2016,"Tue, May 3",10:51 pm,58,81%
71,2016,"Tue, May 3",11:51 pm,58,84%
72,2016,"Wed, May 4",12:51 am,57,81%
73,2016,"Wed, May 4",1:51 am,56,81%
74,2016,"Wed, May 4",2:51 am,56,81%
75,2016,"Wed, May 4",3:58 am,56,81%
76,2016,"Wed, May 4",4:51 am,56,77%
