,year,date,hour,temp,humidity
0,2010,"Fri, Oct 1",12:51 am,68,82%
1,2010,"Fri, Oct 1",1:51 am,66,87%
2,2010,"Fri, Oct 1",2:51 am,66,87%
3,2010,"Fri, Oct 1",3:51 am,65,91%
4,2010,"Fri, Oct 1",4:51 am,65,91%
5,2010,"Fri, Oct 1",5:51 am,64,94%
6,2010,"Fri, Oct 1",6:56 am,64,94%
7,2010,"Fri, Oct 1",7:51 am,68,84%
8,2010,"Fri, Oct 1",8:51 am,72,73%
9,2010,"Fri, Oct 1",9:51 am,71,76%
10,2010,"Fri, Oct 1",10:51 am,71,76%
11,2010,"Fri, Oct 1",11:51 am,75,66%
12,2010,"Fri, Oct 1",12:51 pm,76,64%
13,2010,"Fri, Oct 1",1:51 pm,74,69%
14,2010,"Fri, Oct 1",2:51 pm,73,71%
15,2010,"Fri, Oct 1",3:51 pm,71,73%
16,2010,"Fri, Oct 1",4:51 pm,70,73%
17,2010,"Fri, Oct 1",5:51 pm,70,71%
18,2010,"Fri, Oct 1",6:51 pm,69,73%
19,2010,"Fri, Oct 1",7:51 pm,68,78%
20,2010,"Fri, Oct 1",8:51 pm,68,76%
21,2010,"Fri, Oct 1",9:51 pm,68,78%
22,2010,"Fri, Oct 1",10:51 pm,67,76%
23,2010,"Fri, Oct 1",11:51 pm,67,76%
24,2010,"Sat, Oct 2",12:51 am,68,82%
25,2010,"Sat, Oct 2",1:51 am,66,87%
26,2010,"Sat, Oct 2",2:51 am,66,87%
27,2010,"Sat, Oct 2",3:51 am,65,91%
28,2010,"Sat, Oct 2",4:51 am,65,91%
29,2010,"Sat, Oct 2",5:51 am,64,94%
30,2010,"Sat, Oct 2",6:56 am,64,94%
31,2010,"Sat, Oct 2",7:51 am,68,84%
32,2010,"Sat, Oct 2",8:51 am,72,73%
33,2010,"Sat, Oct 2",9:51 am,71,76%
34,2010,"Sat, Oct 2",10:51 am,71,76%
35,2010,"Sat, Oct 2",11:51 am,75,66%
36,2010,"Sat, Oct 2",12:51 pm,76,64%
37,2010,"Sat, Oct 2",1:51 pm,74,69%
38,2010,"Sat, Oct 2",2:51 pm,73,71%
39,2010,"Sat, Oct 2",3:51 pm,71,73%
40,2010,"Sat, Oct 2",4:51 pm,70,73%
41,2010,"Sat, Oct 2",5:51 pm,70,71%
42,2010,"Sat, Oct 2",6:51 pm,69,73%
43,2010,"Sat, Oct 2",7:51 pm,68,78%
44,2010,"Sat, Oct 2",8:51 pm,68,76%
45,2010,"Sat, Oct 2",9:51 pm,68,78%
46,2010,"Sat, Oct 2",10:51 pm,67,76%
