,year,date,hour,temp,humidity
0,2013,"Tue, Jan 1",12:51 am,45,76%
1,2013,"Tue, Jan 1",1:51 am,44,71%
2,2013,"Tue, Jan 1",2:51 am,44,71%
3,2013,"Tue, Jan 1",3:51 am,43,71%
4,2013,"Tue, Jan 1",4:51 am,44,68%
5,2013,"Tue, Jan 1",5:51 am,44,68%
6,2013,"Tue, Jan 1",6:51 am,43,71%
7,2013,"Tue, Jan 1",7:51 am,46,66%
8,2013,"Tue, Jan 1",8:51 am,51,52%
9,2013,"Tue, Jan 1",9:51 am,55,45%
10,2013,"Tue, Jan 1",10:51 am,58,33%
11,2013,"Tue, Jan 1",11:51 am,58,31%
12,2013,"Tue, Jan 1",12:51 pm,60,32%
13,2013,"Tue, Jan 1",1:51 pm,61,27%
14,2013,"Tue, Jan 1",2:51 pm,62,22%
15,2013,"Tue, Jan 1",3:51 pm,61,24%
16,2013,"Tue, Jan 1",4:51 pm,58,28%
17,2013,"Tue, Jan 1",5:51 pm,54,49%
18,2013,"Tue, Jan 1",6:51 pm,55,35%
19,2013,"Tue, Jan 1",7:51 pm,55,31%
20,2013,"Tue, Jan 1",8:51 pm,55,28%
21,2013,"Tue, Jan 1",9:51 pm,52,37%
22,2013,"Tue, Jan 1",10:51 pm,52,32%
23,2013,"Tue, Jan 1",11:51 pm,50,36%
24,2013,"Wed, Jan 2",12:51 am,45,76%
25,2013,"Wed, Jan 2",1:51 am,44,71%
26,2013,"Wed, Jan 2",2:51 am,44,71%
27,2013,"Wed, Jan 2",3:51 am,43,71%
28,2013,"Wed, Jan 2",4:51 am,44,68%
29,2013,"Wed, Jan 2",5:51 am,44,68%
30,2013,"Wed, Jan 2",6:51 am,43,71%
31,2013,"Wed, Jan 2",7:51 am,46,66%
32,2013,"Wed, Jan 2",8:51 am,51,52%
33,2013,"Wed, Jan 2",9:51 am,55,45%
34,2013,"Wed, Jan 2",10:51 am,58,33%
35,2013,"Wed, Jan 2",11:51 am,58,31%
36,2013,"Wed, Jan 2",12:51 pm,60,32%
37,2013,"Wed, Jan 2",1:51 pm,61,27%
38,2013,"Wed, Jan 2",2:51 pm,62,22%
39,2013,"Wed, Jan 2",3:51 pm,61,24%
40,2013,"Wed, Jan 2",4:51 pm,58,28%
41,2013,"Wed, Jan 2",5:51 pm,54,49%
42,2013,"Wed, Jan 2",6:51 pm,55,35%
43,2013,"Wed, Jan 2",7:51 pm,55,31%
44,2013,"Wed, Jan 2",8:51 pm,55,28%
45,2013,"Wed, Jan 2",9:51 pm,52,37%
46,2013,"Wed, Jan 2",10:51 pm,52,32%
47,2013,"Wed, Jan 2",11:51 pm,50,36%
48,2013,"Thu, Jan 3",12:51 am,45,76%
49,2013,"Thu, Jan 3",1:51 am,44,71%
50,2013,"Thu, Jan 3",2:51 am,44,71%
51,2013,"Thu, Jan 3",3:51 am,43,71%
52,2013,"Thu, Jan 3",4:51 am,44,68%
53,2013,"Thu, Jan 3",5:51 am,44,68%
54,2013,"Thu, Jan 3",6:51 am,43,71%
55,2013,"Thu, Jan 3",7:51 am,46,66%
56,2013,"Thu, Jan 3",8:51 am,51,52%
57,2013,"Thu, Jan 3",9:51 am,55,45%
58,2013,"Thu, Jan 3",10:51 am,58,33%
59,2013,"Thu, Jan 3",11:51 am,58,31%
60,2013,"Thu, Jan 3",12:51 pm,60,32%
61,2013,"Thu, Jan 3",1:51 pm,61,27%
62,2013,"Thu, Jan 3",2:51 pm,62,22%
63,2013,"Thu, Jan 3",3:51 pm,61,24%
64,2013,"Thu, Jan 3",4:51 pm,58,28%
