,year,date,hour,temp,humidity
0,2011,"Wed, Jun 1",12:51 am,54,83%
1,2011,"Wed, Jun 1",1:51 am,53,86%
2,2011,"Wed, Jun 1",2:51 am,54,83%
3,2011,"Wed, Jun 1",3:51 am,53,77%
4,2011,"Wed, Jun 1",4:51 am,53,77%
5,2011,"Wed, Jun 1",5:51 am,52,80%
6,2011,"Wed, Jun 1",6:51 am,55,77%
7,2011,"Wed, Jun 1",7:51 am,58,75%
8,2011,"Wed, Jun 1",8:51 am,61,67%
9,2011,"Wed, Jun 1",9:51 am,61,70%
10,2011,"Wed, Jun 1",10:51 am,60,69%
11,2011,"Wed, Jun 1",11:51 am,63,60%
12,2011,"Wed, Jun 1",12:51 pm,63,63%
13,2011,"Wed, Jun 1",1:51 pm,63,60%
14,2011,"Wed, Jun 1",2:51 pm,62,65%
15,2011,"Wed, Jun 1",3:51 pm,63,60%
16,2011,"Wed, Jun 1",4:51 pm,63,58%
17,2011,"Wed, Jun 1",5:51 pm,62,58%
18,2011,"Wed, Jun 1",6:51 pm,61,62%
19,2011,"Wed, Jun 1",7:51 pm,59,67%
20,2011,"Wed, Jun 1",8:51 pm,58,72%
21,2011,"Wed, Jun 1",9:51 pm,57,74%
22,2011,"Wed, Jun 1",10:51 pm,57,78%
23,2011,"Wed, Jun 1",11:51 pm,56,75%
24,2011,"Thu, Jun 2",12:51 am,54,83%
25,2011,"Thu, Jun 2",1:51 am,53,86%
26,2011,"Thu, Jun 2",2:51 am,54,83%
27,2011,"Thu, Jun 2",3:51 am,53,77%
28,2011,"Thu, Jun 2",4:51 am,53,77%
29,2011,"Thu, Jun 2",5:51 am,52,80%
30,2011,"Thu, Jun 2",6:51 am,55,77%
31,2011,"Thu, Jun 2",7:51 am,58,75%
32,2011,"Thu, Jun 2",8:51 am,61,67%
33,2011,"Thu, Jun 2",9:51 am,61,70%
34,2011,"Thu, Jun 2",10:51 am,60,69%
35,2011,"Thu, Jun 2",11:51 am,63,60%
36,2011,"Thu, Jun 2",12:51 pm,63,63%
