,year,date,hour,temp,humidity
0,2014,"Thu, May 1",12:51 am,71,24%
1,2014,"Thu, May 1",1:51 am,71,20%
2,2014,"Thu, May 1",2:51 am,70,21%
3,2014,"Thu, May 1",3:51 am,67,21%
4,2014,"Thu, May 1",4:51 am,66,26%
5,2014,"Thu, May 1",5:51 am,66,24%
6,2014,"Thu, May 1",6:51 am,68,24%
7,2014,"Thu, May 1",7:51 am,81,12%
8,2014,"Thu, May 1",8:51 am,83,9%
9,2014,"Thu, May 1",9:51 am,85,8%
10,2014,"Thu, May 1",10:51 am,88,5%
11,2014,"Thu, May 1",11:51 am,91,4%
12,2014,"Thu, May 1",12:51 pm,90,6%
13,2014,"Thu, May 1",1:51 pm,88,7%
14,2014,"Thu, May 1",2:51 pm,87,7%
15,2014,"Thu, May 1",3:51 pm,87,7%
16,2014,"Thu, May 1",4:51 pm,84,10%
17,2014,"Thu, May 1",5:51 pm,81,16%
18,2014,"Thu, May 1",6:51 pm,74,36%
19,2014,"Thu, May 1",7:51 pm,73,41%
20,2014,"Thu, May 1",8:51 pm,72,44%
21,2014,"Thu, May 1",9:51 pm,72,44%
22,2014,"Thu, May 1",10:51 pm,71,44%
23,2014,"Thu, May 1",11:51 pm,71,41%
24,2014,"Fri, May 2",12:51 am,71,24%
25,2014,"Fri, May 2",1:51 am,71,20%
26,2014,"Fri, May 2",2:51 am,70,21%
27,2014,"Fri, May 2",3:51 am,67,21%
28,2014,"Fri, May 2",4:51 am,66,26%
29,2014,"Fri, May 2",5:51 am,66,24%
30,2014,"Fri, May 2",6:51 am,68,24%
31,2014,"Fri, May 2",7:51 am,81,12%
32,2014,"Fri, May 2",8:51 am,83,9%
33,2014,"Fri, May 2",9:51 am,85,8%
34,2014,"Fri, May 2",10:51 am,88,5%
35,2014,"Fri, May 2",11:51 am,91,4%
36,2014,"Fri, May 2",12:51 pm,90,6%
37,2014,"Fri, May 2",1:51 pm,88,7%
38,2014,"Fri, May 2",2:51 pm,87,7%
39,2014,"Fri, May 2",3:51 pm,87,7%
40,2014,"Fri, May 2",4:51 pm,84,10%
41,2014,"Fri, May 2",5:51 pm,81,16%
42,2014,"Fri, May 2",6:51 pm,74,36%
43,2014,"Fri, May 2",7:51 pm,73,41%
44,2014,"Fri, May 2",8:51 pm,72,44%
45,2014,"Fri, May 2",9:51 pm,72,44%
46,2014,"Fri, May 2",10:51 pm,71,44%
47,2014,"Fri, May 2",11:51 pm,71,41%
48,2014,"Sat, May 3",12:51 am,71,24%
49,2014,"Sat, May 3",1:51 am,71,20%
50,2014,"Sat, May 3",2:51 am,70,21%
51,2014,"Sat, May 3",3:51 am,67,21%
52,2014,"Sat, May 3",4:51 am,66,26%
53,2014,"Sat, May 3",5:51 am,66,24%
54,2014,"Sat, May 3",6:51 am,68,24%
55,2014,"Sat, May 3",7:51 am,81,12%
56,2014,"Sat, May 3",8:51 am,83,9%
57,2014,"Sat, May 3",9:51 am,85,8%
58,2014,"Sat, May 3",10:51 am,88,5%
59,2014,"Sat, May 3",11:51 am,91,4%
60,2014,"Sat, May 3",12:51 pm,90,6%
61,2014,"Sat, May 3",1:51 pm,88,7%
62,2014,"Sat, May 3",2:51 pm,87,7%
63,2014,"Sat, May 3",3:51 pm,87,7%
64,2014,"Sat, May 3",4:51 pm,84,10%
65,2014,"Sat, May 3",5:51 pm,81,16%
66,2014,"Sat, May 3",6:51 pm,74,36%
67,2014,"Sat, May 3",7:51 pm,73,41%
68,2014,"Sat, May 3",8:51 pm,72,44%
69,2014,"Sat, May 3",9:51 pm,72,44%
70,2014,"Sat, May 3",10:51 pm,71,44%
71,2014,"Sat, May 3",11:51 pm,71,41%
72,2014,"Sun, May 4",12:51 am,71,24%
73,2014,"Sun, May 4",1:51 am,71,20%
74,2014,"Sun, May 4",2:51 am,70,21%
75,2014,"Sun, May 4",3:51 am,67,21%
76,2014,"Sun, May 4",4:51 am,66,26%
77,2014,"Sun, May 4",5:51 am,66,24%
78,2014,"Sun, May 4",6:51 am,68,24%
79,2014,"Sun, May 4",7:51 am,81,12%
80,2014,"Sun, May 4",8:51 am,83,9%
81,2014,"Sun, May 4",9:51 am,85,8%
82,2014,"Sun, May 4",10:51 am,88,5%
83,2014,"Sun, May 4",11:51 am,91,4%
84,2014,"Sun, May 4",12:51 pm,90,6%
85,2014,"Sun, May 4",1:51 pm,88,7%
86,2014,"Sun, May 4",2:51 pm,87,7%
87,2014,"Sun, May 4",3:51 pm,87,7%
88,2014,"Sun, May 4",4:51 pm,84,10%
89,2014,"Sun, May 4",5:51 pm,81,16%
90,2014,"Sun, May 4",6:51 pm,74,36%
91,2014,"Sun, May 4",7:51 pm,73,41%
92,2014,"Sun, May 4",8:51 pm,72,44%
93,2014,"Sun, May 4",9:51 pm,72,44%
94,2014,"Sun, May 4",10:51 pm,71,44%
95,2014,"Sun, May 4",11:51 pm,71,41%
96,2014,"Mon, May 5",12:51 am,71,24%
97,2014,"Mon, May 5",1:51 am,71,20%
98,2014,"Mon, May 5",2:51 am,70,21%
99,2014,"Mon, May 5",3:51 am,67,21%
100,2014,"Mon, May 5",4:51 am,66,26%
101,2014,"Mon, May 5",5:51 am,66,24%
102,2014,"Mon, May 5",6:51 am,68,24%
103,2014,"Mon, May 5",7:51 am,81,12%
104,2014,"Mon, May 5",8:51 am,83,9%
105,2014,"Mon, May 5",9:51 am,85,8%
106,2014,"Mon, May 5",10:51 am,88,5%
107,2014,"Mon, May 5",11:51 am,91,4%
108,2014,"Mon, May 5",12:51 pm,90,6%
109,2014,"Mon, May 5",1:51 pm,88,7%
110,2014,"Mon, May 5",2:51 pm,87,7%
111,2014,"Mon, May 5",3:51 pm,87,7%
112,2014,"Mon, May 5",4:51 pm,84,10%
113,2014,"Mon, May 5",5:51 pm,81,16%
114,2014,"Mon, May 5",6:51 pm,74,36%
115,2014,"Mon, May 5",7:51 pm,73,41%
116,2014,"Mon, May 5",8:51 pm,72,44%
117,2014,"Mon, May 5",9:51 pm,72,44%
118,2014,"Mon, May 5",10:51 pm,71,44%
119,2014,"Mon, May 5",11:51 pm,71,41%
120,2014,"Tue, May 6",12:51 am,71,24%
121,2014,"Tue, May 6",1:51 am,71,20%
122,2014,"Tue, May 6",2:51 am,70,21%
123,2014,"Tue, May 6",3:51 am,67,21%
124,2014,"Tue, May 6",4:51 am,66,26%
125,2014,"Tue, May 6",5:51 am,66,24%
126,2014,"Tue, May 6",6:51 am,68,24%
