,year,date,hour,temp,humidity
0,2011,"Wed, Mar 2",6:54 am,48,71%
1,2011,"Wed, Mar 2",8:59 pm,52,100%
2,2011,"Wed, Mar 2",9:07 pm,52,100%
3,2011,"Wed, Mar 2",11:08 pm,54,94%
4,2011,"Thu, Mar 3",6:54 am,48,71%
5,2011,"Thu, Mar 3",8:59 pm,52,100%
6,2011,"Thu, Mar 3",9:07 pm,52,100%
7,2011,"Thu, Mar 3",11:08 pm,54,94%
8,2011,"Fri, Mar 4",6:54 am,48,71%
9,2011,"Fri, Mar 4",8:59 pm,52,100%
10,2011,"Fri, Mar 4",9:07 pm,52,100%
11,2011,"Fri, Mar 4",11:08 pm,54,94%
12,2011,"Sat, Mar 5",6:54 am,48,71%
13,2011,"Sat, Mar 5",8:59 pm,52,100%
14,2011,"Sat, Mar 5",9:07 pm,52,100%
15,2011,"Sat, Mar 5",11:08 pm,54,94%
16,2011,"Sun, Mar 6",6:54 am,48,71%
17,2011,"Sun, Mar 6",8:59 pm,52,100%
18,2011,"Sun, Mar 6",9:07 pm,52,100%
19,2011,"Sun, Mar 6",11:08 pm,54,94%
20,2011,"Mon, Mar 7",6:54 am,48,71%
21,2011,"Mon, Mar 7",8:59 pm,52,100%
22,2011,"Mon, Mar 7",9:07 pm,52,100%
23,2011,"Mon, Mar 7",11:08 pm,54,94%
24,2011,"Tue, Mar 8",6:54 am,48,71%
25,2011,"Tue, Mar 8",8:59 pm,52,100%
26,2011,"Tue, Mar 8",9:07 pm,52,100%
27,2011,"Tue, Mar 8",11:08 pm,54,94%
28,2011,"Wed, Mar 9",6:54 am,48,71%
29,2011,"Wed, Mar 9",8:59 pm,52,100%
30,2011,"Wed, Mar 9",9:07 pm,52,100%
31,2011,"Wed, Mar 9",11:08 pm,54,94%
32,2011,"Thu, Mar 10",6:54 am,48,71%
33,2011,"Thu, Mar 10",8:59 pm,52,100%
34,2011,"Thu, Mar 10",9:07 pm,52,100%
35,2011,"Thu, Mar 10",11:08 pm,54,94%
36,2011,"Fri, Mar 11",6:54 am,48,71%
37,2011,"Fri, Mar 11",8:59 pm,52,100%
38,2011,"Fri, Mar 11",9:07 pm,52,100%
39,2011,"Fri, Mar 11",11:08 pm,54,94%
40,2011,"Sat, Mar 12",6:54 am,48,71%
41,2011,"Sat, Mar 12",8:59 pm,52,100%
42,2011,"Sat, Mar 12",9:07 pm,52,100%
43,2011,"Sat, Mar 12",11:08 pm,54,94%
44,2011,"Sun, Mar 13",6:54 am,48,71%
45,2011,"Sun, Mar 13",8:59 pm,52,100%
46,2011,"Sun, Mar 13",9:07 pm,52,100%
