,year,date,hour,temp,humidity
0,2016,"Thu, Dec 1",12:51 am,49,66%
1,2016,"Thu, Dec 1",1:51 am,50,61%
2,2016,"Thu, Dec 1",2:51 am,51,61%
3,2016,"Thu, Dec 1",3:51 am,52,55%
4,2016,"Thu, Dec 1",4:51 am,51,56%
5,2016,"Thu, Dec 1",5:51 am,51,61%
6,2016,"Thu, Dec 1",6:51 am,50,63%
7,2016,"Thu, Dec 1",7:51 am,53,61%
8,2016,"Thu, Dec 1",8:51 am,56,53%
9,2016,"Thu, Dec 1",9:51 am,60,47%
10,2016,"Thu, Dec 1",10:51 am,61,58%
11,2016,"Thu, Dec 1",11:51 am,63,48%
12,2016,"Thu, Dec 1",12:51 pm,64,45%
13,2016,"Thu, Dec 1",1:51 pm,64,49%
14,2016,"Thu, Dec 1",2:51 pm,61,65%
15,2016,"Thu, Dec 1",3:51 pm,60,72%
16,2016,"Thu, Dec 1",4:51 pm,59,72%
17,2016,"Thu, Dec 1",5:51 pm,58,62%
18,2016,"Thu, Dec 1",6:51 pm,58,65%
19,2016,"Thu, Dec 1",7:51 pm,56,58%
20,2016,"Thu, Dec 1",8:51 pm,57,41%
21,2016,"Thu, Dec 1",9:51 pm,57,39%
22,2016,"Thu, Dec 1",10:51 pm,57,39%
23,2016,"Thu, Dec 1",11:51 pm,57,39%
24,2016,"Fri, Dec 2",12:51 am,49,66%
25,2016,"Fri, Dec 2",1:51 am,50,61%
26,2016,"Fri, Dec 2",2:51 am,51,61%
27,2016,"Fri, Dec 2",3:51 am,52,55%
28,2016,"Fri, Dec 2",4:51 am,51,56%
29,2016,"Fri, Dec 2",5:51 am,51,61%
30,2016,"Fri, Dec 2",6:51 am,50,63%
31,2016,"Fri, Dec 2",7:51 am,53,61%
32,2016,"Fri, Dec 2",8:51 am,56,53%
33,2016,"Fri, Dec 2",9:51 am,60,47%
34,2016,"Fri, Dec 2",10:51 am,61,58%
35,2016,"Fri, Dec 2",11:51 am,63,48%
36,2016,"Fri, Dec 2",12:51 pm,64,45%
37,2016,"Fri, Dec 2",1:51 pm,64,49%
38,2016,"Fri, Dec 2",2:51 pm,61,65%
39,2016,"Fri, Dec 2",3:51 pm,60,72%
40,2016,"Fri, Dec 2",4:51 pm,59,72%
41,2016,"Fri, Dec 2",5:51 pm,58,62%
42,2016,"Fri, Dec 2",6:51 pm,58,65%
43,2016,"Fri, Dec 2",7:51 pm,56,58%
44,2016,"Fri, Dec 2",8:51 pm,57,41%
45,2016,"Fri, Dec 2",9:51 pm,57,39%
46,2016,"Fri, Dec 2",10:51 pm,57,39%
47,2016,"Fri, Dec 2",11:51 pm,57,39%
48,2016,"Sat, Dec 3",12:51 am,49,66%
49,2016,"Sat, Dec 3",1:51 am,50,61%
50,2016,"Sat, Dec 3",2:51 am,51,61%
51,2016,"Sat, Dec 3",3:51 am,52,55%
52,2016,"Sat, Dec 3",4:51 am,51,56%
53,2016,"Sat, Dec 3",5:51 am,51,61%
54,2016,"Sat, Dec 3",6:51 am,50,63%
55,2016,"Sat, Dec 3",7:51 am,53,61%
56,2016,"Sat, Dec 3",8:51 am,56,53%
57,2016,"Sat, Dec 3",9:51 am,60,47%
58,2016,"Sat, Dec 3",10:51 am,61,58%
59,2016,"Sat, Dec 3",11:51 am,63,48%
60,2016,"Sat, Dec 3",12:51 pm,64,45%
61,2016,"Sat, Dec 3",1:51 pm,64,49%
62,2016,"Sat, Dec 3",2:51 pm,61,65%
63,2016,"Sat, Dec 3",3:51 pm,60,72%
64,2016,"Sat, Dec 3",4:51 pm,59,72%
65,2016,"Sat, Dec 3",5:51 pm,58,62%
66,2016,"Sat, Dec 3",6:51 pm,58,65%
67,2016,"Sat, Dec 3",7:51 pm,56,58%
68,2016,"Sat, Dec 3",8:51 pm,57,41%
69,2016,"Sat, Dec 3",9:51 pm,57,39%
70,2016,"Sat, Dec 3",10:51 pm,57,39%
71,2016,"Sat, Dec 3",11:51 pm,57,39%
72,2016,"Sun, Dec 4",12:51 am,49,66%
73,2016,"Sun, Dec 4",1:51 am,50,61%
74,2016,"Sun, Dec 4",2:51 am,51,61%
75,2016,"Sun, Dec 4",3:51 am,52,55%
76,2016,"Sun, Dec 4",4:51 am,51,56%
77,2016,"Sun, Dec 4",5:51 am,51,61%
78,2016,"Sun, Dec 4",6:51 am,50,63%
79,2016,"Sun, Dec 4",7:51 am,53,61%
80,2016,"Sun, Dec 4",8:51 am,56,53%
81,2016,"Sun, Dec 4",9:51 am,60,47%
82,2016,"Sun, Dec 4",10:51 am,61,58%
83,2016,"Sun, Dec 4",11:51 am,63,48%
84,2016,"Sun, Dec 4",12:51 pm,64,45%
85,2016,"Sun, Dec 4",1:51 pm,64,49%
86,2016,"Sun, Dec 4",2:51 pm,61,65%
87,2016,"Sun, Dec 4",3:51 pm,60,72%
88,2016,"Sun, Dec 4",4:51 pm,59,72%
89,2016,"Sun, Dec 4",5:51 pm,58,62%
90,2016,"Sun, Dec 4",6:51 pm,58,65%
91,2016,"Sun, Dec 4",7:51 pm,56,58%
92,2016,"Sun, Dec 4",8:51 pm,57,41%
93,2016,"Sun, Dec 4",9:51 pm,57,39%
94,2016,"Sun, Dec 4",10:51 pm,57,39%
95,2016,"Sun, Dec 4",11:51 pm,57,39%
96,2016,"Mon, Dec 5",12:51 am,49,66%
