,year,date,hour,temp,humidity
0,2015,"Fri, May 1",12:51 am,60,90%
1,2015,"Fri, May 1",1:51 am,60,90%
2,2015,"Fri, May 1",2:51 am,60,90%
3,2015,"Fri, May 1",3:51 am,59,90%
4,2015,"Fri, May 1",4:58 am,58,93%
5,2015,"Fri, May 1",5:51 am,58,97%
6,2015,"Fri, May 1",6:51 am,57,100%
7,2015,"Fri, May 1",7:51 am,58,93%
8,2015,"Fri, May 1",8:51 am,59,87%
9,2015,"Fri, May 1",9:51 am,63,75%
10,2015,"Fri, May 1",10:51 am,66,68%
11,2015,"Fri, May 1",11:51 am,69,63%
12,2015,"Fri, May 1",12:51 pm,70,59%
13,2015,"Fri, May 1",1:51 pm,72,52%
14,2015,"Fri, May 1",2:51 pm,75,42%
15,2015,"Fri, May 1",3:51 pm,69,57%
16,2015,"Fri, May 1",4:51 pm,68,61%
17,2015,"Fri, May 1",5:51 pm,69,55%
18,2015,"Fri, May 1",6:51 pm,68,51%
19,2015,"Fri, May 1",7:51 pm,64,73%
20,2015,"Fri, May 1",8:51 pm,63,75%
21,2015,"Fri, May 1",9:51 pm,62,78%
22,2015,"Fri, May 1",10:51 pm,62,78%
23,2015,"Fri, May 1",11:51 pm,61,78%
24,2015,"Sat, May 2",12:51 am,60,90%
25,2015,"Sat, May 2",1:51 am,60,90%
26,2015,"Sat, May 2",2:51 am,60,90%
27,2015,"Sat, May 2",3:51 am,59,90%
28,2015,"Sat, May 2",4:58 am,58,93%
29,2015,"Sat, May 2",5:51 am,58,97%
30,2015,"Sat, May 2",6:51 am,57,100%
31,2015,"Sat, May 2",7:51 am,58,93%
32,2015,"Sat, May 2",8:51 am,59,87%
33,2015,"Sat, May 2",9:51 am,63,75%
34,2015,"Sat, May 2",10:51 am,66,68%
35,2015,"Sat, May 2",11:51 am,69,63%
36,2015,"Sat, May 2",12:51 pm,70,59%
37,2015,"Sat, May 2",1:51 pm,72,52%
38,2015,"Sat, May 2",2:51 pm,75,42%
39,2015,"Sat, May 2",3:51 pm,69,57%
40,2015,"Sat, May 2",4:51 pm,68,61%
41,2015,"Sat, May 2",5:51 pm,69,55%
42,2015,"Sat, May 2",6:51 pm,68,51%
43,2015,"Sat, May 2",7:51 pm,64,73%
44,2015,"Sat, May 2",8:51 pm,63,75%
45,2015,"Sat, May 2",9:51 pm,62,78%
46,2015,"Sat, May 2",10:51 pm,62,78%
47,2015,"Sat, May 2",11:51 pm,61,78%
48,2015,"Sun, May 3",12:51 am,60,90%
49,2015,"Sun, May 3",1:51 am,60,90%
50,2015,"Sun, May 3",2:51 am,60,90%
51,2015,"Sun, May 3",3:51 am,59,90%
52,2015,"Sun, May 3",4:58 am,58,93%
53,2015,"Sun, May 3",5:51 am,58,97%
54,2015,"Sun, May 3",6:51 am,57,100%
55,2015,"Sun, May 3",7:51 am,58,93%
56,2015,"Sun, May 3",8:51 am,59,87%
57,2015,"Sun, May 3",9:51 am,63,75%
58,2015,"Sun, May 3",10:51 am,66,68%
59,2015,"Sun, May 3",11:51 am,69,63%
60,2015,"Sun, May 3",12:51 pm,70,59%
61,2015,"Sun, May 3",1:51 pm,72,52%
62,2015,"Sun, May 3",2:51 pm,75,42%
63,2015,"Sun, May 3",3:51 pm,69,57%
64,2015,"Sun, May 3",4:51 pm,68,61%
65,2015,"Sun, May 3",5:51 pm,69,55%
66,2015,"Sun, May 3",6:51 pm,68,51%
67,2015,"Sun, May 3",7:51 pm,64,73%
68,2015,"Sun, May 3",8:51 pm,63,75%
69,2015,"Sun, May 3",9:51 pm,62,78%
70,2015,"Sun, May 3",10:51 pm,62,78%
71,2015,"Sun, May 3",11:51 pm,61,78%
72,2015,"Mon, May 4",12:51 am,60,90%
73,2015,"Mon, May 4",1:51 am,60,90%
74,2015,"Mon, May 4",2:51 am,60,90%
75,2015,"Mon, May 4",3:51 am,59,90%
76,2015,"Mon, May 4",4:58 am,58,93%
77,2015,"Mon, May 4",5:51 am,58,97%
78,2015,"Mon, May 4",6:51 am,57,100%
79,2015,"Mon, May 4",7:51 am,58,93%
80,2015,"Mon, May 4",8:51 am,59,87%
81,2015,"Mon, May 4",9:51 am,63,75%
82,2015,"Mon, May 4",10:51 am,66,68%
83,2015,"Mon, May 4",11:51 am,69,63%
84,2015,"Mon, May 4",12:51 pm,70,59%
85,2015,"Mon, May 4",1:51 pm,72,52%
86,2015,"Mon, May 4",2:51 pm,75,42%
87,2015,"Mon, May 4",3:51 pm,69,57%
88,2015,"Mon, May 4",4:51 pm,68,61%
89,2015,"Mon, May 4",5:51 pm,69,55%
90,2015,"Mon, May 4",6:51 pm,68,51%
91,2015,"Mon, May 4",7:51 pm,64,73%
92,2015,"Mon, May 4",8:51 pm,63,75%
93,2015,"Mon, May 4",9:51 pm,62,78%
94,2015,"Mon, May 4",10:51 pm,62,78%
95,2015,"Mon, May 4",11:51 pm,61,78%
96,2015,"Tue, May 5",12:51 am,60,90%
97,2015,"Tue, May 5",1:51 am,60,90%
98,2015,"Tue, May 5",2:51 am,60,90%
99,2015,"Tue, May 5",3:51 am,59,90%
100,2015,"Tue, May 5",4:58 am,58,93%
101,2015,"Tue, May 5",5:51 am,58,97%
102,2015,"Tue, May 5",6:51 am,57,100%
103,2015,"Tue, May 5",7:51 am,58,93%
104,2015,"Tue, May 5",8:51 am,59,87%
105,2015,"Tue, May 5",9:51 am,63,75%
106,2015,"Tue, May 5",10:51 am,66,68%
107,2015,"Tue, May 5",11:51 am,69,63%
108,2015,"Tue, May 5",12:51 pm,70,59%
109,2015,"Tue, May 5",1:51 pm,72,52%
110,2015,"Tue, May 5",2:51 pm,75,42%
111,2015,"Tue, May 5",3:51 pm,69,57%
112,2015,"Tue, May 5",4:51 pm,68,61%
113,2015,"Tue, May 5",5:51 pm,69,55%
114,2015,"Tue, May 5",6:51 pm,68,51%
115,2015,"Tue, May 5",7:51 pm,64,73%
116,2015,"Tue, May 5",8:51 pm,63,75%
117,2015,"Tue, May 5",9:51 pm,62,78%
118,2015,"Tue, May 5",10:51 pm,62,78%
119,2015,"Tue, May 5",11:51 pm,61,78%
120,2015,"Wed, May 6",12:51 am,60,90%
121,2015,"Wed, May 6",1:51 am,60,90%
122,2015,"Wed, May 6",2:51 am,60,90%
123,2015,"Wed, May 6",3:51 am,59,90%
124,2015,"Wed, May 6",4:58 am,58,93%
125,2015,"Wed, May 6",5:51 am,58,97%
126,2015,"Wed, May 6",6:51 am,57,100%
127,2015,"Wed, May 6",7:51 am,58,93%
128,2015,"Wed, May 6",8:51 am,59,87%
129,2015,"Wed, May 6",9:51 am,63,75%
130,2015,"Wed, May 6",10:51 am,66,68%
131,2015,"Wed, May 6",11:51 am,69,63%
132,2015,"Wed, May 6",12:51 pm,70,59%
133,2015,"Wed, May 6",1:51 pm,72,52%
134,2015,"Wed, May 6",2:51 pm,75,42%
135,2015,"Wed, May 6",3:51 pm,69,57%
136,2015,"Wed, May 6",4:51 pm,68,61%
137,2015,"Wed, May 6",5:51 pm,69,55%
138,2015,"Wed, May 6",6:51 pm,68,51%
139,2015,"Wed, May 6",7:51 pm,64,73%
140,2015,"Wed, May 6",8:51 pm,63,75%
141,2015,"Wed, May 6",9:51 pm,62,78%
142,2015,"Wed, May 6",10:51 pm,62,78%
143,2015,"Wed, May 6",11:51 pm,61,78%
144,2015,"Thu, May 7",12:51 am,60,90%
145,2015,"Thu, May 7",1:51 am,60,90%
146,2015,"Thu, May 7",2:51 am,60,90%
147,2015,"Thu, May 7",3:51 am,59,90%
148,2015,"Thu, May 7",4:58 am,58,93%
149,2015,"Thu, May 7",5:51 am,58,97%
150,2015,"Thu, May 7",6:51 am,57,100%
151,2015,"Thu, May 7",7:51 am,58,93%
152,2015,"Thu, May 7",8:51 am,59,87%
153,2015,"Thu, May 7",9:51 am,63,75%
154,2015,"Thu, May 7",10:51 am,66,68%
155,2015,"Thu, May 7",11:51 am,69,63%
156,2015,"Thu, May 7",12:51 pm,70,59%
157,2015,"Thu, May 7",1:51 pm,72,52%
158,2015,"Thu, May 7",2:51 pm,75,42%
159,2015,"Thu, May 7",3:51 pm,69,57%
160,2015,"Thu, May 7",4:51 pm,68,61%
161,2015,"Thu, May 7",5:51 pm,69,55%
162,2015,"Thu, May 7",6:51 pm,68,51%
163,2015,"Thu, May 7",7:51 pm,64,73%
164,2015,"Thu, May 7",8:51 pm,63,75%
165,2015,"Thu, May 7",9:51 pm,62,78%
166,2015,"Thu, May 7",10:51 pm,62,78%
167,2015,"Thu, May 7",11:51 pm,61,78%
168,2015,"Fri, May 8",12:51 am,60,90%
169,2015,"Fri, May 8",1:51 am,60,90%
170,2015,"Fri, May 8",2:51 am,60,90%
171,2015,"Fri, May 8",3:51 am,59,90%
172,2015,"Fri, May 8",4:58 am,58,93%
173,2015,"Fri, May 8",5:51 am,58,97%
174,2015,"Fri, May 8",6:51 am,57,100%
175,2015,"Fri, May 8",7:51 am,58,93%
176,2015,"Fri, May 8",8:51 am,59,87%
177,2015,"Fri, May 8",9:51 am,63,75%
178,2015,"Fri, May 8",10:51 am,66,68%
179,2015,"Fri, May 8",11:51 am,69,63%
180,2015,"Fri, May 8",12:51 pm,70,59%
181,2015,"Fri, May 8",1:51 pm,72,52%
182,2015,"Fri, May 8",2:51 pm,75,42%
183,2015,"Fri, May 8",3:51 pm,69,57%
184,2015,"Fri, May 8",4:51 pm,68,61%
185,2015,"Fri, May 8",5:51 pm,69,55%
186,2015,"Fri, May 8",6:51 pm,68,51%
187,2015,"Fri, May 8",7:51 pm,64,73%
188,2015,"Fri, May 8",8:51 pm,63,75%
