,year,date,hour,temp,humidity
0,2013,"Wed, May 1",12:51 am,61,70%
1,2013,"Wed, May 1",1:51 am,61,72%
2,2013,"Wed, May 1",2:51 am,61,72%
3,2013,"Wed, May 1",3:51 am,61,72%
4,2013,"Wed, May 1",4:51 am,61,72%
5,2013,"Wed, May 1",5:51 am,60,78%
6,2013,"Wed, May 1",6:51 am,61,75%
7,2013,"Wed, May 1",7:51 am,62,73%
8,2013,"Wed, May 1",8:51 am,62,73%
9,2013,"Wed, May 1",9:51 am,63,70%
10,2013,"Wed, May 1",10:51 am,66,61%
11,2013,"Wed, May 1",11:51 am,70,55%
12,2013,"Wed, May 1",12:51 pm,69,57%
13,2013,"Wed, May 1",1:51 pm,68,57%
14,2013,"Wed, May 1",2:51 pm,68,55%
15,2013,"Wed, May 1",3:51 pm,68,59%
16,2013,"Wed, May 1",4:51 pm,67,66%
17,2013,"Wed, May 1",5:51 pm,66,63%
18,2013,"Wed, May 1",6:51 pm,65,66%
19,2013,"Wed, May 1",7:51 pm,63,75%
20,2013,"Wed, May 1",8:51 pm,62,80%
21,2013,"Wed, May 1",9:51 pm,62,78%
22,2013,"Wed, May 1",10:51 pm,61,78%
23,2013,"Wed, May 1",11:02 pm,61,83%
24,2013,"Wed, May 1",11:51 pm,61,83%
25,2013,"Thu, May 2",12:51 am,61,70%
26,2013,"Thu, May 2",1:51 am,61,72%
27,2013,"Thu, May 2",2:51 am,61,72%
28,2013,"Thu, May 2",3:51 am,61,72%
29,2013,"Thu, May 2",4:51 am,61,72%
30,2013,"Thu, May 2",5:51 am,60,78%
31,2013,"Thu, May 2",6:51 am,61,75%
32,2013,"Thu, May 2",7:51 am,62,73%
33,2013,"Thu, May 2",8:51 am,62,73%
34,2013,"Thu, May 2",9:51 am,63,70%
35,2013,"Thu, May 2",10:51 am,66,61%
36,2013,"Thu, May 2",11:51 am,70,55%
37,2013,"Thu, May 2",12:51 pm,69,57%
38,2013,"Thu, May 2",1:51 pm,68,57%
39,2013,"Thu, May 2",2:51 pm,68,55%
40,2013,"Thu, May 2",3:51 pm,68,59%
41,2013,"Thu, May 2",4:51 pm,67,66%
42,2013,"Thu, May 2",5:51 pm,66,63%
43,2013,"Thu, May 2",6:51 pm,65,66%
44,2013,"Thu, May 2",7:51 pm,63,75%
45,2013,"Thu, May 2",8:51 pm,62,80%
46,2013,"Thu, May 2",9:51 pm,62,78%
47,2013,"Thu, May 2",10:51 pm,61,78%
48,2013,"Thu, May 2",11:02 pm,61,83%
49,2013,"Thu, May 2",11:51 pm,61,83%
50,2013,"Fri, May 3",12:51 am,61,70%
51,2013,"Fri, May 3",1:51 am,61,72%
52,2013,"Fri, May 3",2:51 am,61,72%
53,2013,"Fri, May 3",3:51 am,61,72%
54,2013,"Fri, May 3",4:51 am,61,72%
55,2013,"Fri, May 3",5:51 am,60,78%
56,2013,"Fri, May 3",6:51 am,61,75%
57,2013,"Fri, May 3",7:51 am,62,73%
58,2013,"Fri, May 3",8:51 am,62,73%
59,2013,"Fri, May 3",9:51 am,63,70%
60,2013,"Fri, May 3",10:51 am,66,61%
61,2013,"Fri, May 3",11:51 am,70,55%
62,2013,"Fri, May 3",12:51 pm,69,57%
63,2013,"Fri, May 3",1:51 pm,68,57%
64,2013,"Fri, May 3",2:51 pm,68,55%
65,2013,"Fri, May 3",3:51 pm,68,59%
66,2013,"Fri, May 3",4:51 pm,67,66%
67,2013,"Fri, May 3",5:51 pm,66,63%
68,2013,"Fri, May 3",6:51 pm,65,66%
69,2013,"Fri, May 3",7:51 pm,63,75%
70,2013,"Fri, May 3",8:51 pm,62,80%
71,2013,"Fri, May 3",9:51 pm,62,78%
72,2013,"Fri, May 3",10:51 pm,61,78%
73,2013,"Fri, May 3",11:02 pm,61,83%
74,2013,"Fri, May 3",11:51 pm,61,83%
75,2013,"Sat, May 4",12:51 am,61,70%
76,2013,"Sat, May 4",1:51 am,61,72%
77,2013,"Sat, May 4",2:51 am,61,72%
