,year,date,hour,temp,humidity
0,2016,"Thu, Sep 1",12:51 am,67,81%
1,2016,"Thu, Sep 1",1:51 am,67,81%
2,2016,"Thu, Sep 1",2:51 am,66,84%
3,2016,"Thu, Sep 1",3:51 am,65,85%
4,2016,"Thu, Sep 1",4:51 am,64,87%
5,2016,"Thu, Sep 1",5:51 am,64,84%
6,2016,"Thu, Sep 1",6:51 am,64,84%
7,2016,"Thu, Sep 1",7:51 am,69,81%
8,2016,"Thu, Sep 1",8:51 am,72,73%
9,2016,"Thu, Sep 1",9:51 am,74,69%
10,2016,"Thu, Sep 1",10:51 am,74,71%
11,2016,"Thu, Sep 1",11:51 am,75,69%
12,2016,"Thu, Sep 1",12:51 pm,75,66%
13,2016,"Thu, Sep 1",1:51 pm,75,69%
14,2016,"Thu, Sep 1",2:51 pm,74,69%
15,2016,"Thu, Sep 1",3:51 pm,72,73%
16,2016,"Thu, Sep 1",4:51 pm,72,71%
17,2016,"Thu, Sep 1",5:51 pm,71,71%
18,2016,"Thu, Sep 1",6:51 pm,69,76%
19,2016,"Thu, Sep 1",7:51 pm,68,76%
20,2016,"Thu, Sep 1",8:51 pm,68,76%
21,2016,"Thu, Sep 1",9:51 pm,68,82%
22,2016,"Thu, Sep 1",10:03 pm,68,82%
23,2016,"Thu, Sep 1",10:51 pm,68,82%
24,2016,"Thu, Sep 1",11:51 pm,67,81%
25,2016,"Fri, Sep 2",12:51 am,67,81%
26,2016,"Fri, Sep 2",1:51 am,67,81%
27,2016,"Fri, Sep 2",2:51 am,66,84%
28,2016,"Fri, Sep 2",3:51 am,65,85%
29,2016,"Fri, Sep 2",4:51 am,64,87%
30,2016,"Fri, Sep 2",5:51 am,64,84%
31,2016,"Fri, Sep 2",6:51 am,64,84%
32,2016,"Fri, Sep 2",7:51 am,69,81%
33,2016,"Fri, Sep 2",8:51 am,72,73%
34,2016,"Fri, Sep 2",9:51 am,74,69%
35,2016,"Fri, Sep 2",10:51 am,74,71%
36,2016,"Fri, Sep 2",11:51 am,75,69%
37,2016,"Fri, Sep 2",12:51 pm,75,66%
38,2016,"Fri, Sep 2",1:51 pm,75,69%
39,2016,"Fri, Sep 2",2:51 pm,74,69%
40,2016,"Fri, Sep 2",3:51 pm,72,73%
41,2016,"Fri, Sep 2",4:51 pm,72,71%
42,2016,"Fri, Sep 2",5:51 pm,71,71%
43,2016,"Fri, Sep 2",6:51 pm,69,76%
44,2016,"Fri, Sep 2",7:51 pm,68,76%
45,2016,"Fri, Sep 2",8:51 pm,68,76%
46,2016,"Fri, Sep 2",9:51 pm,68,82%
47,2016,"Fri, Sep 2",10:03 pm,68,82%
48,2016,"Fri, Sep 2",10:51 pm,68,82%
49,2016,"Fri, Sep 2",11:51 pm,67,81%
50,2016,"Sat, Sep 3",12:51 am,67,81%
51,2016,"Sat, Sep 3",1:51 am,67,81%
52,2016,"Sat, Sep 3",2:51 am,66,84%
53,2016,"Sat, Sep 3",3:51 am,65,85%
54,2016,"Sat, Sep 3",4:51 am,64,87%
55,2016,"Sat, Sep 3",5:51 am,64,84%
56,2016,"Sat, Sep 3",6:51 am,64,84%
57,2016,"Sat, Sep 3",7:51 am,69,81%
58,2016,"Sat, Sep 3",8:51 am,72,73%
59,2016,"Sat, Sep 3",9:51 am,74,69%
60,2016,"Sat, Sep 3",10:51 am,74,71%
61,2016,"Sat, Sep 3",11:51 am,75,69%
62,2016,"Sat, Sep 3",12:51 pm,75,66%
63,2016,"Sat, Sep 3",1:51 pm,75,69%
64,2016,"Sat, Sep 3",2:51 pm,74,69%
65,2016,"Sat, Sep 3",3:51 pm,72,73%
66,2016,"Sat, Sep 3",4:51 pm,72,71%
67,2016,"Sat, Sep 3",5:51 pm,71,71%
68,2016,"Sat, Sep 3",6:51 pm,69,76%
69,2016,"Sat, Sep 3",7:51 pm,68,76%
70,2016,"Sat, Sep 3",8:51 pm,68,76%
71,2016,"Sat, Sep 3",9:51 pm,68,82%
72,2016,"Sat, Sep 3",10:03 pm,68,82%
73,2016,"Sat, Sep 3",10:51 pm,68,82%
74,2016,"Sat, Sep 3",11:51 pm,67,81%
75,2016,"Sun, Sep 4",12:51 am,67,81%
76,2016,"Sun, Sep 4",1:51 am,67,81%
77,2016,"Sun, Sep 4",2:51 am,66,84%
78,2016,"Sun, Sep 4",3:51 am,65,85%
79,2016,"Sun, Sep 4",4:51 am,64,87%
80,2016,"Sun, Sep 4",5:51 am,64,84%
81,2016,"Sun, Sep 4",6:51 am,64,84%
82,2016,"Sun, Sep 4",7:51 am,69,81%
83,2016,"Sun, Sep 4",8:51 am,72,73%
84,2016,"Sun, Sep 4",9:51 am,74,69%
85,2016,"Sun, Sep 4",10:51 am,74,71%
86,2016,"Sun, Sep 4",11:51 am,75,69%
87,2016,"Sun, Sep 4",12:51 pm,75,66%
88,2016,"Sun, Sep 4",1:51 pm,75,69%
89,2016,"Sun, Sep 4",2:51 pm,74,69%
90,2016,"Sun, Sep 4",3:51 pm,72,73%
91,2016,"Sun, Sep 4",4:51 pm,72,71%
92,2016,"Sun, Sep 4",5:51 pm,71,71%
93,2016,"Sun, Sep 4",6:51 pm,69,76%
94,2016,"Sun, Sep 4",7:51 pm,68,76%
95,2016,"Sun, Sep 4",8:51 pm,68,76%
96,2016,"Sun, Sep 4",9:51 pm,68,82%
97,2016,"Sun, Sep 4",10:03 pm,68,82%
98,2016,"Sun, Sep 4",10:51 pm,68,82%
99,2016,"Sun, Sep 4",11:51 pm,67,81%
100,2016,"Mon, Sep 5",12:51 am,67,81%
101,2016,"Mon, Sep 5",1:51 am,67,81%
102,2016,"Mon, Sep 5",2:51 am,66,84%
103,2016,"Mon, Sep 5",3:51 am,65,85%
104,2016,"Mon, Sep 5",4:51 am,64,87%
105,2016,"Mon, Sep 5",5:51 am,64,84%
106,2016,"Mon, Sep 5",6:51 am,64,84%
107,2016,"Mon, Sep 5",7:51 am,69,81%
108,2016,"Mon, Sep 5",8:51 am,72,73%
109,2016,"Mon, Sep 5",9:51 am,74,69%
110,2016,"Mon, Sep 5",10:51 am,74,71%
111,2016,"Mon, Sep 5",11:51 am,75,69%
112,2016,"Mon, Sep 5",12:51 pm,75,66%
113,2016,"Mon, Sep 5",1:51 pm,75,69%
114,2016,"Mon, Sep 5",2:51 pm,74,69%
115,2016,"Mon, Sep 5",3:51 pm,72,73%
116,2016,"Mon, Sep 5",4:51 pm,72,71%
117,2016,"Mon, Sep 5",5:51 pm,71,71%
118,2016,"Mon, Sep 5",6:51 pm,69,76%
119,2016,"Mon, Sep 5",7:51 pm,68,76%
120,2016,"Mon, Sep 5",8:51 pm,68,76%
121,2016,"Mon, Sep 5",9:51 pm,68,82%
122,2016,"Mon, Sep 5",10:03 pm,68,82%
123,2016,"Mon, Sep 5",10:51 pm,68,82%
124,2016,"Mon, Sep 5",11:51 pm,67,81%
125,2016,"Tue, Sep 6",12:51 am,67,81%
126,2016,"Tue, Sep 6",1:51 am,67,81%
127,2016,"Tue, Sep 6",2:51 am,66,84%
128,2016,"Tue, Sep 6",3:51 am,65,85%
129,2016,"Tue, Sep 6",4:51 am,64,87%
130,2016,"Tue, Sep 6",5:51 am,64,84%
131,2016,"Tue, Sep 6",6:51 am,64,84%
132,2016,"Tue, Sep 6",7:51 am,69,81%
133,2016,"Tue, Sep 6",8:51 am,72,73%
134,2016,"Tue, Sep 6",9:51 am,74,69%
135,2016,"Tue, Sep 6",10:51 am,74,71%
136,2016,"Tue, Sep 6",11:51 am,75,69%
137,2016,"Tue, Sep 6",12:51 pm,75,66%
138,2016,"Tue, Sep 6",1:51 pm,75,69%
139,2016,"Tue, Sep 6",2:51 pm,74,69%
140,2016,"Tue, Sep 6",3:51 pm,72,73%
141,2016,"Tue, Sep 6",4:51 pm,72,71%
