,year,date,hour,temp,humidity
0,2014,"Sun, Jun 1",12:51 am,64,70%
1,2014,"Sun, Jun 1",1:51 am,63,78%
2,2014,"Sun, Jun 1",2:51 am,63,75%
3,2014,"Sun, Jun 1",3:51 am,62,75%
4,2014,"Sun, Jun 1",4:51 am,61,70%
5,2014,"Sun, Jun 1",5:51 am,61,70%
6,2014,"Sun, Jun 1",6:51 am,63,68%
7,2014,"Sun, Jun 1",7:51 am,66,70%
8,2014,"Sun, Jun 1",8:51 am,69,63%
9,2014,"Sun, Jun 1",9:51 am,72,57%
10,2014,"Sun, Jun 1",10:51 am,72,59%
11,2014,"Sun, Jun 1",11:51 am,72,59%
12,2014,"Sun, Jun 1",12:51 pm,72,59%
13,2014,"Sun, Jun 1",1:51 pm,73,55%
14,2014,"Sun, Jun 1",2:51 pm,74,56%
15,2014,"Sun, Jun 1",3:51 pm,72,57%
16,2014,"Sun, Jun 1",4:51 pm,72,55%
17,2014,"Sun, Jun 1",5:51 pm,71,59%
18,2014,"Sun, Jun 1",6:51 pm,70,57%
19,2014,"Sun, Jun 1",7:51 pm,67,71%
20,2014,"Sun, Jun 1",8:51 pm,66,73%
21,2014,"Sun, Jun 1",9:51 pm,65,76%
22,2014,"Sun, Jun 1",10:51 pm,65,76%
23,2014,"Sun, Jun 1",11:51 pm,66,73%
24,2014,"Mon, Jun 2",12:51 am,64,70%
25,2014,"Mon, Jun 2",1:51 am,63,78%
26,2014,"Mon, Jun 2",2:51 am,63,75%
27,2014,"Mon, Jun 2",3:51 am,62,75%
28,2014,"Mon, Jun 2",4:51 am,61,70%
29,2014,"Mon, Jun 2",5:51 am,61,70%
30,2014,"Mon, Jun 2",6:51 am,63,68%
31,2014,"Mon, Jun 2",7:51 am,66,70%
32,2014,"Mon, Jun 2",8:51 am,69,63%
33,2014,"Mon, Jun 2",9:51 am,72,57%
34,2014,"Mon, Jun 2",10:51 am,72,59%
35,2014,"Mon, Jun 2",11:51 am,72,59%
36,2014,"Mon, Jun 2",12:51 pm,72,59%
37,2014,"Mon, Jun 2",1:51 pm,73,55%
38,2014,"Mon, Jun 2",2:51 pm,74,56%
39,2014,"Mon, Jun 2",3:51 pm,72,57%
40,2014,"Mon, Jun 2",4:51 pm,72,55%
41,2014,"Mon, Jun 2",5:51 pm,71,59%
42,2014,"Mon, Jun 2",6:51 pm,70,57%
43,2014,"Mon, Jun 2",7:51 pm,67,71%
44,2014,"Mon, Jun 2",8:51 pm,66,73%
45,2014,"Mon, Jun 2",9:51 pm,65,76%
46,2014,"Mon, Jun 2",10:51 pm,65,76%
47,2014,"Mon, Jun 2",11:51 pm,66,73%
48,2014,"Tue, Jun 3",12:51 am,64,70%
49,2014,"Tue, Jun 3",1:51 am,63,78%
50,2014,"Tue, Jun 3",2:51 am,63,75%
51,2014,"Tue, Jun 3",3:51 am,62,75%
52,2014,"Tue, Jun 3",4:51 am,61,70%
53,2014,"Tue, Jun 3",5:51 am,61,70%
54,2014,"Tue, Jun 3",6:51 am,63,68%
55,2014,"Tue, Jun 3",7:51 am,66,70%
56,2014,"Tue, Jun 3",8:51 am,69,63%
57,2014,"Tue, Jun 3",9:51 am,72,57%
58,2014,"Tue, Jun 3",10:51 am,72,59%
59,2014,"Tue, Jun 3",11:51 am,72,59%
60,2014,"Tue, Jun 3",12:51 pm,72,59%
61,2014,"Tue, Jun 3",1:51 pm,73,55%
62,2014,"Tue, Jun 3",2:51 pm,74,56%
63,2014,"Tue, Jun 3",3:51 pm,72,57%
64,2014,"Tue, Jun 3",4:51 pm,72,55%
65,2014,"Tue, Jun 3",5:51 pm,71,59%
66,2014,"Tue, Jun 3",6:51 pm,70,57%
67,2014,"Tue, Jun 3",7:51 pm,67,71%
68,2014,"Tue, Jun 3",8:51 pm,66,73%
69,2014,"Tue, Jun 3",9:51 pm,65,76%
70,2014,"Tue, Jun 3",10:51 pm,65,76%
71,2014,"Tue, Jun 3",11:51 pm,66,73%
72,2014,"Wed, Jun 4",12:51 am,64,70%
73,2014,"Wed, Jun 4",1:51 am,63,78%
74,2014,"Wed, Jun 4",2:51 am,63,75%
75,2014,"Wed, Jun 4",3:51 am,62,75%
76,2014,"Wed, Jun 4",4:51 am,61,70%
77,2014,"Wed, Jun 4",5:51 am,61,70%
78,2014,"Wed, Jun 4",6:51 am,63,68%
79,2014,"Wed, Jun 4",7:51 am,66,70%
80,2014,"Wed, Jun 4",8:51 am,69,63%
81,2014,"Wed, Jun 4",9:51 am,72,57%
82,2014,"Wed, Jun 4",10:51 am,72,59%
83,2014,"Wed, Jun 4",11:51 am,72,59%
84,2014,"Wed, Jun 4",12:51 pm,72,59%
85,2014,"Wed, Jun 4",1:51 pm,73,55%
