,year,date,hour,temp,humidity
0,2014,"Sat, Mar 1",12:51 am,57,87%
1,2014,"Sat, Mar 1",1:51 am,56,90%
2,2014,"Sat, Mar 1",2:51 am,56,87%
3,2014,"Sat, Mar 1",3:51 am,57,87%
4,2014,"Sat, Mar 1",4:51 am,56,90%
5,2014,"Sat, Mar 1",6:01 am,55,88%
6,2014,"Sat, Mar 1",6:51 am,55,87%
7,2014,"Sat, Mar 1",7:51 am,57,83%
8,2014,"Sat, Mar 1",8:51 am,59,78%
9,2014,"Sat, Mar 1",9:51 am,60,80%
10,2014,"Sat, Mar 1",10:51 am,62,73%
11,2014,"Sat, Mar 1",11:51 am,64,63%
12,2014,"Sat, Mar 1",12:51 pm,64,61%
13,2014,"Sat, Mar 1",1:51 pm,65,61%
14,2014,"Sat, Mar 1",2:51 pm,63,65%
15,2014,"Sat, Mar 1",3:51 pm,56,84%
16,2014,"Sat, Mar 1",4:51 pm,56,90%
17,2014,"Sat, Mar 1",5:51 pm,54,93%
18,2014,"Sat, Mar 1",6:51 pm,54,90%
19,2014,"Sat, Mar 1",7:51 pm,55,87%
20,2014,"Sat, Mar 1",8:51 pm,54,93%
21,2014,"Sat, Mar 1",9:51 pm,54,90%
22,2014,"Sat, Mar 1",10:51 pm,53,93%
23,2014,"Sat, Mar 1",11:51 pm,53,89%
24,2014,"Sun, Mar 2",12:51 am,57,87%
25,2014,"Sun, Mar 2",1:51 am,56,90%
26,2014,"Sun, Mar 2",2:51 am,56,87%
27,2014,"Sun, Mar 2",3:51 am,57,87%
28,2014,"Sun, Mar 2",4:51 am,56,90%
29,2014,"Sun, Mar 2",6:01 am,55,88%
30,2014,"Sun, Mar 2",6:51 am,55,87%
31,2014,"Sun, Mar 2",7:51 am,57,83%
32,2014,"Sun, Mar 2",8:51 am,59,78%
33,2014,"Sun, Mar 2",9:51 am,60,80%
34,2014,"Sun, Mar 2",10:51 am,62,73%
35,2014,"Sun, Mar 2",11:51 am,64,63%
36,2014,"Sun, Mar 2",12:51 pm,64,61%
37,2014,"Sun, Mar 2",1:51 pm,65,61%
38,2014,"Sun, Mar 2",2:51 pm,63,65%
39,2014,"Sun, Mar 2",3:51 pm,56,84%
40,2014,"Sun, Mar 2",4:51 pm,56,90%
41,2014,"Sun, Mar 2",5:51 pm,54,93%
42,2014,"Sun, Mar 2",6:51 pm,54,90%
43,2014,"Sun, Mar 2",7:51 pm,55,87%
44,2014,"Sun, Mar 2",8:51 pm,54,93%
45,2014,"Sun, Mar 2",9:51 pm,54,90%
46,2014,"Sun, Mar 2",10:51 pm,53,93%
47,2014,"Sun, Mar 2",11:51 pm,53,89%
48,2014,"Mon, Mar 3",12:51 am,57,87%
49,2014,"Mon, Mar 3",1:51 am,56,90%
50,2014,"Mon, Mar 3",2:51 am,56,87%
51,2014,"Mon, Mar 3",3:51 am,57,87%
52,2014,"Mon, Mar 3",4:51 am,56,90%
53,2014,"Mon, Mar 3",6:01 am,55,88%
54,2014,"Mon, Mar 3",6:51 am,55,87%
55,2014,"Mon, Mar 3",7:51 am,57,83%
56,2014,"Mon, Mar 3",8:51 am,59,78%
57,2014,"Mon, Mar 3",9:51 am,60,80%
58,2014,"Mon, Mar 3",10:51 am,62,73%
59,2014,"Mon, Mar 3",11:51 am,64,63%
60,2014,"Mon, Mar 3",12:51 pm,64,61%
61,2014,"Mon, Mar 3",1:51 pm,65,61%
62,2014,"Mon, Mar 3",2:51 pm,63,65%
63,2014,"Mon, Mar 3",3:51 pm,56,84%
64,2014,"Mon, Mar 3",4:51 pm,56,90%
65,2014,"Mon, Mar 3",5:51 pm,54,93%
66,2014,"Mon, Mar 3",6:51 pm,54,90%
67,2014,"Mon, Mar 3",7:51 pm,55,87%
68,2014,"Mon, Mar 3",8:51 pm,54,93%
69,2014,"Mon, Mar 3",9:51 pm,54,90%
70,2014,"Mon, Mar 3",10:51 pm,53,93%
71,2014,"Mon, Mar 3",11:51 pm,53,89%
72,2014,"Tue, Mar 4",12:51 am,57,87%
73,2014,"Tue, Mar 4",1:51 am,56,90%
74,2014,"Tue, Mar 4",2:51 am,56,87%
75,2014,"Tue, Mar 4",3:51 am,57,87%
76,2014,"Tue, Mar 4",4:51 am,56,90%
77,2014,"Tue, Mar 4",6:01 am,55,88%
78,2014,"Tue, Mar 4",6:51 am,55,87%
79,2014,"Tue, Mar 4",7:51 am,57,83%
80,2014,"Tue, Mar 4",8:51 am,59,78%
81,2014,"Tue, Mar 4",9:51 am,60,80%
82,2014,"Tue, Mar 4",10:51 am,62,73%
83,2014,"Tue, Mar 4",11:51 am,64,63%
84,2014,"Tue, Mar 4",12:51 pm,64,61%
85,2014,"Tue, Mar 4",1:51 pm,65,61%
86,2014,"Tue, Mar 4",2:51 pm,63,65%
87,2014,"Tue, Mar 4",3:51 pm,56,84%
88,2014,"Tue, Mar 4",4:51 pm,56,90%
89,2014,"Tue, Mar 4",5:51 pm,54,93%
90,2014,"Tue, Mar 4",6:51 pm,54,90%
91,2014,"Tue, Mar 4",7:51 pm,55,87%
92,2014,"Tue, Mar 4",8:51 pm,54,93%
93,2014,"Tue, Mar 4",9:51 pm,54,90%
94,2014,"Tue, Mar 4",10:51 pm,53,93%
95,2014,"Tue, Mar 4",11:51 pm,53,89%
96,2014,"Wed, Mar 5",12:51 am,57,87%
97,2014,"Wed, Mar 5",1:51 am,56,90%
98,2014,"Wed, Mar 5",2:51 am,56,87%
99,2014,"Wed, Mar 5",3:51 am,57,87%
100,2014,"Wed, Mar 5",4:51 am,56,90%
101,2014,"Wed, Mar 5",6:01 am,55,88%
102,2014,"Wed, Mar 5",6:51 am,55,87%
103,2014,"Wed, Mar 5",7:51 am,57,83%
104,2014,"Wed, Mar 5",8:51 am,59,78%
105,2014,"Wed, Mar 5",9:51 am,60,80%
106,2014,"Wed, Mar 5",10:51 am,62,73%
107,2014,"Wed, Mar 5",11:51 am,64,63%
108,2014,"Wed, Mar 5",12:51 pm,64,61%
109,2014,"Wed, Mar 5",1:51 pm,65,61%
110,2014,"Wed, Mar 5",2:51 pm,63,65%
111,2014,"Wed, Mar 5",3:51 pm,56,84%
112,2014,"Wed, Mar 5",4:51 pm,56,90%
113,2014,"Wed, Mar 5",5:51 pm,54,93%
114,2014,"Wed, Mar 5",6:51 pm,54,90%
115,2014,"Wed, Mar 5",7:51 pm,55,87%
116,2014,"Wed, Mar 5",8:51 pm,54,93%
117,2014,"Wed, Mar 5",9:51 pm,54,90%
118,2014,"Wed, Mar 5",10:51 pm,53,93%
119,2014,"Wed, Mar 5",11:51 pm,53,89%
120,2014,"Thu, Mar 6",12:51 am,57,87%
121,2014,"Thu, Mar 6",1:51 am,56,90%
122,2014,"Thu, Mar 6",2:51 am,56,87%
123,2014,"Thu, Mar 6",3:51 am,57,87%
124,2014,"Thu, Mar 6",4:51 am,56,90%
125,2014,"Thu, Mar 6",6:01 am,55,88%
126,2014,"Thu, Mar 6",6:51 am,55,87%
127,2014,"Thu, Mar 6",7:51 am,57,83%
128,2014,"Thu, Mar 6",8:51 am,59,78%
129,2014,"Thu, Mar 6",9:51 am,60,80%
130,2014,"Thu, Mar 6",10:51 am,62,73%
131,2014,"Thu, Mar 6",11:51 am,64,63%
132,2014,"Thu, Mar 6",12:51 pm,64,61%
133,2014,"Thu, Mar 6",1:51 pm,65,61%
134,2014,"Thu, Mar 6",2:51 pm,63,65%
135,2014,"Thu, Mar 6",3:51 pm,56,84%
136,2014,"Thu, Mar 6",4:51 pm,56,90%
