,year,date,hour,temp,humidity
0,2010,"Sat, May 1",12:51 am,63,31%
1,2010,"Sat, May 1",1:51 am,58,46%
2,2010,"Sat, May 1",2:51 am,56,67%
3,2010,"Sat, May 1",3:51 am,54,72%
4,2010,"Sat, May 1",4:51 am,52,77%
5,2010,"Sat, May 1",5:51 am,52,77%
6,2010,"Sat, May 1",6:51 am,54,69%
7,2010,"Sat, May 1",7:51 am,59,64%
8,2010,"Sat, May 1",8:51 am,62,58%
9,2010,"Sat, May 1",9:51 am,63,56%
10,2010,"Sat, May 1",10:51 am,62,60%
11,2010,"Sat, May 1",11:51 am,65,52%
12,2010,"Sat, May 1",12:51 pm,64,54%
13,2010,"Sat, May 1",1:51 pm,63,54%
14,2010,"Sat, May 1",2:51 pm,62,60%
15,2010,"Sat, May 1",3:51 pm,63,58%
16,2010,"Sat, May 1",4:51 pm,66,49%
17,2010,"Sat, May 1",5:51 pm,64,49%
18,2010,"Sat, May 1",6:51 pm,62,48%
19,2010,"Sat, May 1",7:51 pm,59,62%
20,2010,"Sat, May 1",8:51 pm,58,70%
21,2010,"Sat, May 1",9:51 pm,57,81%
22,2010,"Sat, May 1",10:51 pm,56,84%
23,2010,"Sat, May 1",11:51 pm,55,83%
24,2010,"Sun, May 2",12:51 am,63,31%
25,2010,"Sun, May 2",1:51 am,58,46%
26,2010,"Sun, May 2",2:51 am,56,67%
27,2010,"Sun, May 2",3:51 am,54,72%
28,2010,"Sun, May 2",4:51 am,52,77%
29,2010,"Sun, May 2",5:51 am,52,77%
30,2010,"Sun, May 2",6:51 am,54,69%
31,2010,"Sun, May 2",7:51 am,59,64%
32,2010,"Sun, May 2",8:51 am,62,58%
33,2010,"Sun, May 2",9:51 am,63,56%
34,2010,"Sun, May 2",10:51 am,62,60%
35,2010,"Sun, May 2",11:51 am,65,52%
36,2010,"Sun, May 2",12:51 pm,64,54%
37,2010,"Sun, May 2",1:51 pm,63,54%
38,2010,"Sun, May 2",2:51 pm,62,60%
39,2010,"Sun, May 2",3:51 pm,63,58%
40,2010,"Sun, May 2",4:51 pm,66,49%
41,2010,"Sun, May 2",5:51 pm,64,49%
42,2010,"Sun, May 2",6:51 pm,62,48%
43,2010,"Sun, May 2",7:51 pm,59,62%
44,2010,"Sun, May 2",8:51 pm,58,70%
45,2010,"Sun, May 2",9:51 pm,57,81%
46,2010,"Sun, May 2",10:51 pm,56,84%
47,2010,"Sun, May 2",11:51 pm,55,83%
48,2010,"Mon, May 3",12:51 am,63,31%
49,2010,"Mon, May 3",1:51 am,58,46%
50,2010,"Mon, May 3",2:51 am,56,67%
51,2010,"Mon, May 3",3:51 am,54,72%
52,2010,"Mon, May 3",4:51 am,52,77%
53,2010,"Mon, May 3",5:51 am,52,77%
54,2010,"Mon, May 3",6:51 am,54,69%
55,2010,"Mon, May 3",7:51 am,59,64%
56,2010,"Mon, May 3",8:51 am,62,58%
57,2010,"Mon, May 3",9:51 am,63,56%
58,2010,"Mon, May 3",10:51 am,62,60%
59,2010,"Mon, May 3",11:51 am,65,52%
60,2010,"Mon, May 3",12:51 pm,64,54%
61,2010,"Mon, May 3",1:51 pm,63,54%
62,2010,"Mon, May 3",2:51 pm,62,60%
63,2010,"Mon, May 3",3:51 pm,63,58%
64,2010,"Mon, May 3",4:51 pm,66,49%
65,2010,"Mon, May 3",5:51 pm,64,49%
66,2010,"Mon, May 3",6:51 pm,62,48%
67,2010,"Mon, May 3",7:51 pm,59,62%
68,2010,"Mon, May 3",8:51 pm,58,70%
69,2010,"Mon, May 3",9:51 pm,57,81%
70,2010,"Mon, May 3",10:51 pm,56,84%
71,2010,"Mon, May 3",11:51 pm,55,83%
72,2010,"Tue, May 4",12:51 am,63,31%
73,2010,"Tue, May 4",1:51 am,58,46%
74,2010,"Tue, May 4",2:51 am,56,67%
75,2010,"Tue, May 4",3:51 am,54,72%
76,2010,"Tue, May 4",4:51 am,52,77%
77,2010,"Tue, May 4",5:51 am,52,77%
78,2010,"Tue, May 4",6:51 am,54,69%
79,2010,"Tue, May 4",7:51 am,59,64%
80,2010,"Tue, May 4",8:51 am,62,58%
81,2010,"Tue, May 4",9:51 am,63,56%
82,2010,"Tue, May 4",10:51 am,62,60%
83,2010,"Tue, May 4",11:51 am,65,52%
84,2010,"Tue, May 4",12:51 pm,64,54%
85,2010,"Tue, May 4",1:51 pm,63,54%
86,2010,"Tue, May 4",2:51 pm,62,60%
87,2010,"Tue, May 4",3:51 pm,63,58%
88,2010,"Tue, May 4",4:51 pm,66,49%
89,2010,"Tue, May 4",5:51 pm,64,49%
90,2010,"Tue, May 4",6:51 pm,62,48%
91,2010,"Tue, May 4",7:51 pm,59,62%
92,2010,"Tue, May 4",8:51 pm,58,70%
93,2010,"Tue, May 4",9:51 pm,57,81%
94,2010,"Tue, May 4",10:51 pm,56,84%
95,2010,"Tue, May 4",11:51 pm,55,83%
96,2010,"Wed, May 5",12:51 am,63,31%
97,2010,"Wed, May 5",1:51 am,58,46%
98,2010,"Wed, May 5",2:51 am,56,67%
99,2010,"Wed, May 5",3:51 am,54,72%
100,2010,"Wed, May 5",4:51 am,52,77%
101,2010,"Wed, May 5",5:51 am,52,77%
102,2010,"Wed, May 5",6:51 am,54,69%
103,2010,"Wed, May 5",7:51 am,59,64%
104,2010,"Wed, May 5",8:51 am,62,58%
105,2010,"Wed, May 5",9:51 am,63,56%
106,2010,"Wed, May 5",10:51 am,62,60%
107,2010,"Wed, May 5",11:51 am,65,52%
108,2010,"Wed, May 5",12:51 pm,64,54%
109,2010,"Wed, May 5",1:51 pm,63,54%
110,2010,"Wed, May 5",2:51 pm,62,60%
111,2010,"Wed, May 5",3:51 pm,63,58%
112,2010,"Wed, May 5",4:51 pm,66,49%
113,2010,"Wed, May 5",5:51 pm,64,49%
114,2010,"Wed, May 5",6:51 pm,62,48%
115,2010,"Wed, May 5",7:51 pm,59,62%
116,2010,"Wed, May 5",8:51 pm,58,70%
117,2010,"Wed, May 5",9:51 pm,57,81%
118,2010,"Wed, May 5",10:51 pm,56,84%
119,2010,"Wed, May 5",11:51 pm,55,83%
120,2010,"Thu, May 6",12:51 am,63,31%
121,2010,"Thu, May 6",1:51 am,58,46%
122,2010,"Thu, May 6",2:51 am,56,67%
123,2010,"Thu, May 6",3:51 am,54,72%
124,2010,"Thu, May 6",4:51 am,52,77%
125,2010,"Thu, May 6",5:51 am,52,77%
126,2010,"Thu, May 6",6:51 am,54,69%
127,2010,"Thu, May 6",7:51 am,59,64%
128,2010,"Thu, May 6",8:51 am,62,58%
129,2010,"Thu, May 6",9:51 am,63,56%
130,2010,"Thu, May 6",10:51 am,62,60%
131,2010,"Thu, May 6",11:51 am,65,52%
132,2010,"Thu, May 6",12:51 pm,64,54%
133,2010,"Thu, May 6",1:51 pm,63,54%
134,2010,"Thu, May 6",2:51 pm,62,60%
135,2010,"Thu, May 6",3:51 pm,63,58%
136,2010,"Thu, May 6",4:51 pm,66,49%
137,2010,"Thu, May 6",5:51 pm,64,49%
138,2010,"Thu, May 6",6:51 pm,62,48%
139,2010,"Thu, May 6",7:51 pm,59,62%
140,2010,"Thu, May 6",8:51 pm,58,70%
141,2010,"Thu, May 6",9:51 pm,57,81%
142,2010,"Thu, May 6",10:51 pm,56,84%
143,2010,"Thu, May 6",11:51 pm,55,83%
144,2010,"Fri, May 7",12:51 am,63,31%
145,2010,"Fri, May 7",1:51 am,58,46%
146,2010,"Fri, May 7",2:51 am,56,67%
147,2010,"Fri, May 7",3:51 am,54,72%
148,2010,"Fri, May 7",4:51 am,52,77%
149,2010,"Fri, May 7",5:51 am,52,77%
150,2010,"Fri, May 7",6:51 am,54,69%
151,2010,"Fri, May 7",7:51 am,59,64%
152,2010,"Fri, May 7",8:51 am,62,58%
153,2010,"Fri, May 7",9:51 am,63,56%
154,2010,"Fri, May 7",10:51 am,62,60%
155,2010,"Fri, May 7",11:51 am,65,52%
156,2010,"Fri, May 7",12:51 pm,64,54%
157,2010,"Fri, May 7",1:51 pm,63,54%
158,2010,"Fri, May 7",2:51 pm,62,60%
159,2010,"Fri, May 7",3:51 pm,63,58%
160,2010,"Fri, May 7",4:51 pm,66,49%
161,2010,"Fri, May 7",5:51 pm,64,49%
162,2010,"Fri, May 7",6:51 pm,62,48%
163,2010,"Fri, May 7",7:51 pm,59,62%
164,2010,"Fri, May 7",8:51 pm,58,70%
165,2010,"Fri, May 7",9:51 pm,57,81%
166,2010,"Fri, May 7",10:51 pm,56,84%
167,2010,"Fri, May 7",11:51 pm,55,83%
168,2010,"Sat, May 8",12:51 am,63,31%
169,2010,"Sat, May 8",1:51 am,58,46%
170,2010,"Sat, May 8",2:51 am,56,67%
171,2010,"Sat, May 8",3:51 am,54,72%
172,2010,"Sat, May 8",4:51 am,52,77%
173,2010,"Sat, May 8",5:51 am,52,77%
174,2010,"Sat, May 8",6:51 am,54,69%
175,2010,"Sat, May 8",7:51 am,59,64%
176,2010,"Sat, May 8",8:51 am,62,58%
177,2010,"Sat, May 8",9:51 am,63,56%
178,2010,"Sat, May 8",10:51 am,62,60%
179,2010,"Sat, May 8",11:51 am,65,52%
180,2010,"Sat, May 8",12:51 pm,64,54%
181,2010,"Sat, May 8",1:51 pm,63,54%
182,2010,"Sat, May 8",2:51 pm,62,60%
183,2010,"Sat, May 8",3:51 pm,63,58%
184,2010,"Sat, May 8",4:51 pm,66,49%
185,2010,"Sat, May 8",5:51 pm,64,49%
186,2010,"Sat, May 8",6:51 pm,62,48%
187,2010,"Sat, May 8",7:51 pm,59,62%
188,2010,"Sat, May 8",8:51 pm,58,70%
