,year,date,hour,temp,humidity
0,2013,"Sun, Dec 1",12:51 am,58,70%
1,2013,"Sun, Dec 1",1:51 am,57,64%
2,2013,"Sun, Dec 1",2:51 am,57,62%
3,2013,"Sun, Dec 1",3:51 am,56,62%
4,2013,"Sun, Dec 1",4:51 am,55,59%
5,2013,"Sun, Dec 1",5:51 am,54,62%
6,2013,"Sun, Dec 1",6:51 am,57,47%
7,2013,"Sun, Dec 1",7:51 am,63,37%
8,2013,"Sun, Dec 1",8:51 am,65,47%
9,2013,"Sun, Dec 1",9:51 am,70,34%
10,2013,"Sun, Dec 1",10:51 am,74,25%
11,2013,"Sun, Dec 1",11:51 am,76,30%
12,2013,"Sun, Dec 1",12:51 pm,73,28%
13,2013,"Sun, Dec 1",1:51 pm,75,26%
14,2013,"Sun, Dec 1",2:51 pm,72,27%
15,2013,"Sun, Dec 1",3:51 pm,71,26%
16,2013,"Sun, Dec 1",4:51 pm,67,55%
17,2013,"Sun, Dec 1",5:51 pm,64,68%
18,2013,"Sun, Dec 1",6:51 pm,62,73%
19,2013,"Sun, Dec 1",7:51 pm,61,52%
20,2013,"Sun, Dec 1",8:51 pm,59,56%
21,2013,"Sun, Dec 1",9:51 pm,61,39%
22,2013,"Sun, Dec 1",10:51 pm,58,51%
23,2013,"Sun, Dec 1",11:51 pm,58,47%
24,2013,"Mon, Dec 2",12:51 am,58,70%
25,2013,"Mon, Dec 2",1:51 am,57,64%
26,2013,"Mon, Dec 2",2:51 am,57,62%
27,2013,"Mon, Dec 2",3:51 am,56,62%
28,2013,"Mon, Dec 2",4:51 am,55,59%
29,2013,"Mon, Dec 2",5:51 am,54,62%
30,2013,"Mon, Dec 2",6:51 am,57,47%
31,2013,"Mon, Dec 2",7:51 am,63,37%
32,2013,"Mon, Dec 2",8:51 am,65,47%
33,2013,"Mon, Dec 2",9:51 am,70,34%
34,2013,"Mon, Dec 2",10:51 am,74,25%
35,2013,"Mon, Dec 2",11:51 am,76,30%
36,2013,"Mon, Dec 2",12:51 pm,73,28%
37,2013,"Mon, Dec 2",1:51 pm,75,26%
38,2013,"Mon, Dec 2",2:51 pm,72,27%
39,2013,"Mon, Dec 2",3:51 pm,71,26%
40,2013,"Mon, Dec 2",4:51 pm,67,55%
41,2013,"Mon, Dec 2",5:51 pm,64,68%
42,2013,"Mon, Dec 2",6:51 pm,62,73%
43,2013,"Mon, Dec 2",7:51 pm,61,52%
44,2013,"Mon, Dec 2",8:51 pm,59,56%
45,2013,"Mon, Dec 2",9:51 pm,61,39%
46,2013,"Mon, Dec 2",10:51 pm,58,51%
47,2013,"Mon, Dec 2",11:51 pm,58,47%
48,2013,"Tue, Dec 3",12:51 am,58,70%
49,2013,"Tue, Dec 3",1:51 am,57,64%
50,2013,"Tue, Dec 3",2:51 am,57,62%
51,2013,"Tue, Dec 3",3:51 am,56,62%
52,2013,"Tue, Dec 3",4:51 am,55,59%
53,2013,"Tue, Dec 3",5:51 am,54,62%
54,2013,"Tue, Dec 3",6:51 am,57,47%
55,2013,"Tue, Dec 3",7:51 am,63,37%
56,2013,"Tue, Dec 3",8:51 am,65,47%
57,2013,"Tue, Dec 3",9:51 am,70,34%
58,2013,"Tue, Dec 3",10:51 am,74,25%
59,2013,"Tue, Dec 3",11:51 am,76,30%
60,2013,"Tue, Dec 3",12:51 pm,73,28%
61,2013,"Tue, Dec 3",1:51 pm,75,26%
62,2013,"Tue, Dec 3",2:51 pm,72,27%
63,2013,"Tue, Dec 3",3:51 pm,71,26%
64,2013,"Tue, Dec 3",4:51 pm,67,55%
65,2013,"Tue, Dec 3",5:51 pm,64,68%
66,2013,"Tue, Dec 3",6:51 pm,62,73%
67,2013,"Tue, Dec 3",7:51 pm,61,52%
68,2013,"Tue, Dec 3",8:51 pm,59,56%
69,2013,"Tue, Dec 3",9:51 pm,61,39%
70,2013,"Tue, Dec 3",10:51 pm,58,51%
71,2013,"Tue, Dec 3",11:51 pm,58,47%
72,2013,"Wed, Dec 4",12:51 am,58,70%
73,2013,"Wed, Dec 4",1:51 am,57,64%
74,2013,"Wed, Dec 4",2:51 am,57,62%
75,2013,"Wed, Dec 4",3:51 am,56,62%
76,2013,"Wed, Dec 4",4:51 am,55,59%
77,2013,"Wed, Dec 4",5:51 am,54,62%
78,2013,"Wed, Dec 4",6:51 am,57,47%
79,2013,"Wed, Dec 4",7:51 am,63,37%
80,2013,"Wed, Dec 4",8:51 am,65,47%
81,2013,"Wed, Dec 4",9:51 am,70,34%
82,2013,"Wed, Dec 4",10:51 am,74,25%
83,2013,"Wed, Dec 4",11:51 am,76,30%
84,2013,"Wed, Dec 4",12:51 pm,73,28%
85,2013,"Wed, Dec 4",1:51 pm,75,26%
86,2013,"Wed, Dec 4",2:51 pm,72,27%
87,2013,"Wed, Dec 4",3:51 pm,71,26%
88,2013,"Wed, Dec 4",4:51 pm,67,55%
89,2013,"Wed, Dec 4",5:51 pm,64,68%
90,2013,"Wed, Dec 4",6:51 pm,62,73%
91,2013,"Wed, Dec 4",7:51 pm,61,52%
92,2013,"Wed, Dec 4",8:51 pm,59,56%
93,2013,"Wed, Dec 4",9:51 pm,61,39%
94,2013,"Wed, Dec 4",10:51 pm,58,51%
95,2013,"Wed, Dec 4",11:51 pm,58,47%
96,2013,"Thu, Dec 5",12:51 am,58,70%
97,2013,"Thu, Dec 5",1:51 am,57,64%
98,2013,"Thu, Dec 5",2:51 am,57,62%
99,2013,"Thu, Dec 5",3:51 am,56,62%
100,2013,"Thu, Dec 5",4:51 am,55,59%
101,2013,"Thu, Dec 5",5:51 am,54,62%
102,2013,"Thu, Dec 5",6:51 am,57,47%
103,2013,"Thu, Dec 5",7:51 am,63,37%
104,2013,"Thu, Dec 5",8:51 am,65,47%
105,2013,"Thu, Dec 5",9:51 am,70,34%
106,2013,"Thu, Dec 5",10:51 am,74,25%
107,2013,"Thu, Dec 5",11:51 am,76,30%
108,2013,"Thu, Dec 5",12:51 pm,73,28%
109,2013,"Thu, Dec 5",1:51 pm,75,26%
110,2013,"Thu, Dec 5",2:51 pm,72,27%
111,2013,"Thu, Dec 5",3:51 pm,71,26%
112,2013,"Thu, Dec 5",4:51 pm,67,55%
113,2013,"Thu, Dec 5",5:51 pm,64,68%
114,2013,"Thu, Dec 5",6:51 pm,62,73%
115,2013,"Thu, Dec 5",7:51 pm,61,52%
116,2013,"Thu, Dec 5",8:51 pm,59,56%
117,2013,"Thu, Dec 5",9:51 pm,61,39%
118,2013,"Thu, Dec 5",10:51 pm,58,51%
119,2013,"Thu, Dec 5",11:51 pm,58,47%
120,2013,"Fri, Dec 6",12:51 am,58,70%
121,2013,"Fri, Dec 6",1:51 am,57,64%
122,2013,"Fri, Dec 6",2:51 am,57,62%
123,2013,"Fri, Dec 6",3:51 am,56,62%
124,2013,"Fri, Dec 6",4:51 am,55,59%
125,2013,"Fri, Dec 6",5:51 am,54,62%
126,2013,"Fri, Dec 6",6:51 am,57,47%
127,2013,"Fri, Dec 6",7:51 am,63,37%
128,2013,"Fri, Dec 6",8:51 am,65,47%
129,2013,"Fri, Dec 6",9:51 am,70,34%
130,2013,"Fri, Dec 6",10:51 am,74,25%
131,2013,"Fri, Dec 6",11:51 am,76,30%
132,2013,"Fri, Dec 6",12:51 pm,73,28%
133,2013,"Fri, Dec 6",1:51 pm,75,26%
134,2013,"Fri, Dec 6",2:51 pm,72,27%
135,2013,"Fri, Dec 6",3:51 pm,71,26%
136,2013,"Fri, Dec 6",4:51 pm,67,55%
137,2013,"Fri, Dec 6",5:51 pm,64,68%
138,2013,"Fri, Dec 6",6:51 pm,62,73%
139,2013,"Fri, Dec 6",7:51 pm,61,52%
140,2013,"Fri, Dec 6",8:51 pm,59,56%
141,2013,"Fri, Dec 6",9:51 pm,61,39%
142,2013,"Fri, Dec 6",10:51 pm,58,51%
143,2013,"Fri, Dec 6",11:51 pm,58,47%
144,2013,"Sat, Dec 7",12:51 am,58,70%
145,2013,"Sat, Dec 7",1:51 am,57,64%
146,2013,"Sat, Dec 7",2:51 am,57,62%
147,2013,"Sat, Dec 7",3:51 am,56,62%
148,2013,"Sat, Dec 7",4:51 am,55,59%
149,2013,"Sat, Dec 7",5:51 am,54,62%
150,2013,"Sat, Dec 7",6:51 am,57,47%
