,year,date,hour,temp,humidity
0,2013,"Tue, Oct 1",12:51 am,63,81%
1,2013,"Tue, Oct 1",1:51 am,62,83%
2,2013,"Tue, Oct 1",2:51 am,63,78%
3,2013,"Tue, Oct 1",3:51 am,63,81%
4,2013,"Tue, Oct 1",4:51 am,60,86%
5,2013,"Tue, Oct 1",5:51 am,60,83%
6,2013,"Tue, Oct 1",6:51 am,61,83%
7,2013,"Tue, Oct 1",7:51 am,65,76%
8,2013,"Tue, Oct 1",8:51 am,68,70%
9,2013,"Tue, Oct 1",9:51 am,71,63%
10,2013,"Tue, Oct 1",10:51 am,75,50%
11,2013,"Tue, Oct 1",11:51 am,75,60%
12,2013,"Tue, Oct 1",12:51 pm,73,66%
13,2013,"Tue, Oct 1",1:51 pm,73,66%
14,2013,"Tue, Oct 1",2:51 pm,73,69%
15,2013,"Tue, Oct 1",3:51 pm,72,68%
16,2013,"Tue, Oct 1",4:51 pm,71,71%
17,2013,"Tue, Oct 1",5:51 pm,70,73%
18,2013,"Tue, Oct 1",6:51 pm,68,78%
19,2013,"Tue, Oct 1",7:51 pm,66,84%
20,2013,"Tue, Oct 1",8:51 pm,66,84%
21,2013,"Tue, Oct 1",9:51 pm,65,87%
22,2013,"Tue, Oct 1",11:51 pm,66,81%
23,2013,"Wed, Oct 2",12:51 am,63,81%
24,2013,"Wed, Oct 2",1:51 am,62,83%
25,2013,"Wed, Oct 2",2:51 am,63,78%
26,2013,"Wed, Oct 2",3:51 am,63,81%
27,2013,"Wed, Oct 2",4:51 am,60,86%
28,2013,"Wed, Oct 2",5:51 am,60,83%
29,2013,"Wed, Oct 2",6:51 am,61,83%
30,2013,"Wed, Oct 2",7:51 am,65,76%
31,2013,"Wed, Oct 2",8:51 am,68,70%
32,2013,"Wed, Oct 2",9:51 am,71,63%
33,2013,"Wed, Oct 2",10:51 am,75,50%
34,2013,"Wed, Oct 2",11:51 am,75,60%
35,2013,"Wed, Oct 2",12:51 pm,73,66%
36,2013,"Wed, Oct 2",1:51 pm,73,66%
37,2013,"Wed, Oct 2",2:51 pm,73,69%
38,2013,"Wed, Oct 2",3:51 pm,72,68%
39,2013,"Wed, Oct 2",4:51 pm,71,71%
40,2013,"Wed, Oct 2",5:51 pm,70,73%
41,2013,"Wed, Oct 2",6:51 pm,68,78%
42,2013,"Wed, Oct 2",7:51 pm,66,84%
43,2013,"Wed, Oct 2",8:51 pm,66,84%
44,2013,"Wed, Oct 2",9:51 pm,65,87%
45,2013,"Wed, Oct 2",11:51 pm,66,81%
46,2013,"Thu, Oct 3",12:51 am,63,81%
47,2013,"Thu, Oct 3",1:51 am,62,83%
48,2013,"Thu, Oct 3",2:51 am,63,78%
49,2013,"Thu, Oct 3",3:51 am,63,81%
50,2013,"Thu, Oct 3",4:51 am,60,86%
51,2013,"Thu, Oct 3",5:51 am,60,83%
52,2013,"Thu, Oct 3",6:51 am,61,83%
53,2013,"Thu, Oct 3",7:51 am,65,76%
54,2013,"Thu, Oct 3",8:51 am,68,70%
55,2013,"Thu, Oct 3",9:51 am,71,63%
56,2013,"Thu, Oct 3",10:51 am,75,50%
57,2013,"Thu, Oct 3",11:51 am,75,60%
58,2013,"Thu, Oct 3",12:51 pm,73,66%
59,2013,"Thu, Oct 3",1:51 pm,73,66%
60,2013,"Thu, Oct 3",2:51 pm,73,69%
61,2013,"Thu, Oct 3",3:51 pm,72,68%
62,2013,"Thu, Oct 3",4:51 pm,71,71%
63,2013,"Thu, Oct 3",5:51 pm,70,73%
64,2013,"Thu, Oct 3",6:51 pm,68,78%
65,2013,"Thu, Oct 3",7:51 pm,66,84%
66,2013,"Thu, Oct 3",8:51 pm,66,84%
67,2013,"Thu, Oct 3",9:51 pm,65,87%
68,2013,"Thu, Oct 3",11:51 pm,66,81%
69,2013,"Fri, Oct 4",12:51 am,63,81%
70,2013,"Fri, Oct 4",1:51 am,62,83%
71,2013,"Fri, Oct 4",2:51 am,63,78%
72,2013,"Fri, Oct 4",3:51 am,63,81%
73,2013,"Fri, Oct 4",4:51 am,60,86%
74,2013,"Fri, Oct 4",5:51 am,60,83%
75,2013,"Fri, Oct 4",6:51 am,61,83%
76,2013,"Fri, Oct 4",7:51 am,65,76%
77,2013,"Fri, Oct 4",8:51 am,68,70%
78,2013,"Fri, Oct 4",9:51 am,71,63%
79,2013,"Fri, Oct 4",10:51 am,75,50%
80,2013,"Fri, Oct 4",11:51 am,75,60%
81,2013,"Fri, Oct 4",12:51 pm,73,66%
82,2013,"Fri, Oct 4",1:51 pm,73,66%
83,2013,"Fri, Oct 4",2:51 pm,73,69%
84,2013,"Fri, Oct 4",3:51 pm,72,68%
85,2013,"Fri, Oct 4",4:51 pm,71,71%
86,2013,"Fri, Oct 4",5:51 pm,70,73%
87,2013,"Fri, Oct 4",6:51 pm,68,78%
88,2013,"Fri, Oct 4",7:51 pm,66,84%
89,2013,"Fri, Oct 4",8:51 pm,66,84%
90,2013,"Fri, Oct 4",9:51 pm,65,87%
91,2013,"Fri, Oct 4",11:51 pm,66,81%
92,2013,"Sat, Oct 5",12:51 am,63,81%
93,2013,"Sat, Oct 5",1:51 am,62,83%
94,2013,"Sat, Oct 5",2:51 am,63,78%
95,2013,"Sat, Oct 5",3:51 am,63,81%
96,2013,"Sat, Oct 5",4:51 am,60,86%
97,2013,"Sat, Oct 5",5:51 am,60,83%
98,2013,"Sat, Oct 5",6:51 am,61,83%
99,2013,"Sat, Oct 5",7:51 am,65,76%
100,2013,"Sat, Oct 5",8:51 am,68,70%
101,2013,"Sat, Oct 5",9:51 am,71,63%
102,2013,"Sat, Oct 5",10:51 am,75,50%
103,2013,"Sat, Oct 5",11:51 am,75,60%
104,2013,"Sat, Oct 5",12:51 pm,73,66%
105,2013,"Sat, Oct 5",1:51 pm,73,66%
106,2013,"Sat, Oct 5",2:51 pm,73,69%
107,2013,"Sat, Oct 5",3:51 pm,72,68%
108,2013,"Sat, Oct 5",4:51 pm,71,71%
109,2013,"Sat, Oct 5",5:51 pm,70,73%
110,2013,"Sat, Oct 5",6:51 pm,68,78%
111,2013,"Sat, Oct 5",7:51 pm,66,84%
112,2013,"Sat, Oct 5",8:51 pm,66,84%
113,2013,"Sat, Oct 5",9:51 pm,65,87%
114,2013,"Sat, Oct 5",11:51 pm,66,81%
115,2013,"Sun, Oct 6",12:51 am,63,81%
116,2013,"Sun, Oct 6",1:51 am,62,83%
117,2013,"Sun, Oct 6",2:51 am,63,78%
118,2013,"Sun, Oct 6",3:51 am,63,81%
119,2013,"Sun, Oct 6",4:51 am,60,86%
120,2013,"Sun, Oct 6",5:51 am,60,83%
121,2013,"Sun, Oct 6",6:51 am,61,83%
122,2013,"Sun, Oct 6",7:51 am,65,76%
123,2013,"Sun, Oct 6",8:51 am,68,70%
124,2013,"Sun, Oct 6",9:51 am,71,63%
125,2013,"Sun, Oct 6",10:51 am,75,50%
126,2013,"Sun, Oct 6",11:51 am,75,60%
127,2013,"Sun, Oct 6",12:51 pm,73,66%
128,2013,"Sun, Oct 6",1:51 pm,73,66%
129,2013,"Sun, Oct 6",2:51 pm,73,69%
130,2013,"Sun, Oct 6",3:51 pm,72,68%
131,2013,"Sun, Oct 6",4:51 pm,71,71%
132,2013,"Sun, Oct 6",5:51 pm,70,73%
133,2013,"Sun, Oct 6",6:51 pm,68,78%
134,2013,"Sun, Oct 6",7:51 pm,66,84%
135,2013,"Sun, Oct 6",8:51 pm,66,84%
136,2013,"Sun, Oct 6",9:51 pm,65,87%
137,2013,"Sun, Oct 6",11:51 pm,66,81%
138,2013,"Mon, Oct 7",12:51 am,63,81%
139,2013,"Mon, Oct 7",1:51 am,62,83%
140,2013,"Mon, Oct 7",2:51 am,63,78%
141,2013,"Mon, Oct 7",3:51 am,63,81%
142,2013,"Mon, Oct 7",4:51 am,60,86%
143,2013,"Mon, Oct 7",5:51 am,60,83%
144,2013,"Mon, Oct 7",6:51 am,61,83%
145,2013,"Mon, Oct 7",7:51 am,65,76%
146,2013,"Mon, Oct 7",8:51 am,68,70%
147,2013,"Mon, Oct 7",9:51 am,71,63%
148,2013,"Mon, Oct 7",10:51 am,75,50%
149,2013,"Mon, Oct 7",11:51 am,75,60%
150,2013,"Mon, Oct 7",12:51 pm,73,66%
151,2013,"Mon, Oct 7",1:51 pm,73,66%
152,2013,"Mon, Oct 7",2:51 pm,73,69%
153,2013,"Mon, Oct 7",3:51 pm,72,68%
154,2013,"Mon, Oct 7",4:51 pm,71,71%
155,2013,"Mon, Oct 7",5:51 pm,70,73%
156,2013,"Mon, Oct 7",6:51 pm,68,78%
157,2013,"Mon, Oct 7",7:51 pm,66,84%
158,2013,"Mon, Oct 7",8:51 pm,66,84%
159,2013,"Mon, Oct 7",9:51 pm,65,87%
160,2013,"Mon, Oct 7",11:51 pm,66,81%
161,2013,"Tue, Oct 8",12:51 am,63,81%
162,2013,"Tue, Oct 8",1:51 am,62,83%
163,2013,"Tue, Oct 8",2:51 am,63,78%
164,2013,"Tue, Oct 8",3:51 am,63,81%
165,2013,"Tue, Oct 8",4:51 am,60,86%
166,2013,"Tue, Oct 8",5:51 am,60,83%
167,2013,"Tue, Oct 8",6:51 am,61,83%
168,2013,"Tue, Oct 8",7:51 am,65,76%
169,2013,"Tue, Oct 8",8:51 am,68,70%
170,2013,"Tue, Oct 8",9:51 am,71,63%
171,2013,"Tue, Oct 8",10:51 am,75,50%
172,2013,"Tue, Oct 8",11:51 am,75,60%
173,2013,"Tue, Oct 8",12:51 pm,73,66%
174,2013,"Tue, Oct 8",1:51 pm,73,66%
175,2013,"Tue, Oct 8",2:51 pm,73,69%
176,2013,"Tue, Oct 8",3:51 pm,72,68%
177,2013,"Tue, Oct 8",4:51 pm,71,71%
178,2013,"Tue, Oct 8",5:51 pm,70,73%
179,2013,"Tue, Oct 8",6:51 pm,68,78%
180,2013,"Tue, Oct 8",7:51 pm,66,84%
181,2013,"Tue, Oct 8",8:51 pm,66,84%
182,2013,"Tue, Oct 8",9:51 pm,65,87%
183,2013,"Tue, Oct 8",11:51 pm,66,81%
184,2013,"Wed, Oct 9",12:51 am,63,81%
185,2013,"Wed, Oct 9",1:51 am,62,83%
186,2013,"Wed, Oct 9",2:51 am,63,78%
187,2013,"Wed, Oct 9",3:51 am,63,81%
188,2013,"Wed, Oct 9",4:51 am,60,86%
189,2013,"Wed, Oct 9",5:51 am,60,83%
190,2013,"Wed, Oct 9",6:51 am,61,83%
191,2013,"Wed, Oct 9",7:51 am,65,76%
192,2013,"Wed, Oct 9",8:51 am,68,70%
193,2013,"Wed, Oct 9",9:51 am,71,63%
194,2013,"Wed, Oct 9",10:51 am,75,50%
195,2013,"Wed, Oct 9",11:51 am,75,60%
196,2013,"Wed, Oct 9",12:51 pm,73,66%
197,2013,"Wed, Oct 9",1:51 pm,73,66%
198,2013,"Wed, Oct 9",2:51 pm,73,69%
199,2013,"Wed, Oct 9",3:51 pm,72,68%
200,2013,"Wed, Oct 9",4:51 pm,71,71%
201,2013,"Wed, Oct 9",5:51 pm,70,73%
202,2013,"Wed, Oct 9",6:51 pm,68,78%
203,2013,"Wed, Oct 9",7:51 pm,66,84%
204,2013,"Wed, Oct 9",8:51 pm,66,84%
205,2013,"Wed, Oct 9",9:51 pm,65,87%
206,2013,"Wed, Oct 9",11:51 pm,66,81%
207,2013,"Thu, Oct 10",12:51 am,63,81%
208,2013,"Thu, Oct 10",1:51 am,62,83%
209,2013,"Thu, Oct 10",2:51 am,63,78%
210,2013,"Thu, Oct 10",3:51 am,63,81%
211,2013,"Thu, Oct 10",4:51 am,60,86%
212,2013,"Thu, Oct 10",5:51 am,60,83%
213,2013,"Thu, Oct 10",6:51 am,61,83%
214,2013,"Thu, Oct 10",7:51 am,65,76%
215,2013,"Thu, Oct 10",8:51 am,68,70%
216,2013,"Thu, Oct 10",9:51 am,71,63%
217,2013,"Thu, Oct 10",10:51 am,75,50%
218,2013,"Thu, Oct 10",11:51 am,75,60%
219,2013,"Thu, Oct 10",12:51 pm,73,66%
220,2013,"Thu, Oct 10",1:51 pm,73,66%
221,2013,"Thu, Oct 10",2:51 pm,73,69%
222,2013,"Thu, Oct 10",3:51 pm,72,68%
223,2013,"Thu, Oct 10",4:51 pm,71,71%
224,2013,"Thu, Oct 10",5:51 pm,70,73%
225,2013,"Thu, Oct 10",6:51 pm,68,78%
226,2013,"Thu, Oct 10",7:51 pm,66,84%
227,2013,"Thu, Oct 10",8:51 pm,66,84%
228,2013,"Thu, Oct 10",9:51 pm,65,87%
229,2013,"Thu, Oct 10",11:51 pm,66,81%
230,2013,"Fri, Oct 11",12:51 am,63,81%
231,2013,"Fri, Oct 11",1:51 am,62,83%
232,2013,"Fri, Oct 11",2:51 am,63,78%
233,2013,"Fri, Oct 11",3:51 am,63,81%
234,2013,"Fri, Oct 11",4:51 am,60,86%
235,2013,"Fri, Oct 11",5:51 am,60,83%
